Wall time,Step,Value
1524215430.522558,0,0.0002677262236829847
1524216023.8160763,4497,1.0
1524216531.0082953,9504,1.0
1524217180.985268,14444,0.999631404876709
1524217841.365121,19383,1.0
1524218351.855467,24409,1.0
1524219002.3081534,29362,0.9999237060546875
1524219522.791584,34330,1.0
1524220174.4011803,39304,0.9998487830162048
1524220832.2148046,44243,0.9997026324272156
1524221346.4322007,49257,1.0
1524221996.7978377,54166,1.0
1524222653.6906195,59092,1.0
1524223166.6732407,64031,1.0
1524223816.2203932,68916,1.0
1524224336.7553573,73828,1.0
1524224986.667407,78737,1.0
1524225642.4469204,83663,1.0
1524226158.7338545,88601,1.0
1524226807.2820437,93523,1.0
1524227329.321111,98453,1.0
