Wall time,Step,Value
1528717152.707675,1487,0.026182211935520172
1528717212.5492578,1982,0.025621166452765465
1528717470.4090304,3641,0.02232232689857483
1528717732.5678644,5341,0.02173597738146782
1528717987.3458896,7130,0.020636072382330894
1528718257.880212,9519,0.01883738487958908
1528718597.4334514,11119,0.017554117366671562
1528718655.7376003,12533,0.01766914315521717
1528718913.5849411,14138,0.015755299478769302
1528719174.0639384,15798,0.01610981486737728
1528719433.2900968,17688,0.0191873200237751
1528719694.3980384,20020,0.016528459265828133
1528719823.9003506,21692,0.01498744823038578
1528720075.802632,23619,0.014637431129813194
1528720344.631894,25763,0.014814895577728748
1528720597.0305328,27449,0.016872281208634377
1528720864.7802002,29824,0.014742058701813221
1528721125.518917,31493,0.014462456107139587
1528721386.2166026,33239,0.014852584339678288
1528721515.7200599,35735,0.013888311572372913
1528721774.6967714,37405,0.015265273861587048
1528722027.6255786,39183,0.017234457656741142
1528722296.399149,41489,0.01459619589149952
1528722555.39571,43158,0.013820030726492405
1528722815.9860358,45003,0.015430623665452003
1528722944.965436,47449,0.014735531061887741
1528723204.9626415,49129,0.014487262815237045
1528723456.4734302,50994,0.01372473407536745
1528723725.5393968,53232,0.013512435369193554
1528723986.6607776,54914,0.01330545824021101
1528724246.8704078,56847,0.013125386089086533
1528724506.0485156,59186,0.013133017346262932
1528724636.1202188,60859,0.01298556663095951
1528724888.0453699,62807,0.012640852481126785
1528725156.9025786,64953,0.012600949965417385
1528725408.7802799,66639,0.012444416992366314
1528725676.2538507,69047,0.012344006448984146
1528725936.9485633,70716,0.012410339899361134
1528726058.5454676,72459,0.012196960859000683
1528726326.3163838,74810,0.012287326157093048
1528726587.5207367,76466,0.012119314633309841
1528726838.6606708,78271,0.01198372058570385
1528727107.6450212,80586,0.011929539032280445
1528727367.407647,82257,0.011871162801980972
1528727628.772122,84111,0.01212706882506609
1528727756.6757822,86531,0.011626867577433586
1528728018.1797621,88200,0.01187464315444231
1528728271.4717262,90069,0.011676919646561146
1528728537.937567,92253,0.011988854967057705
1528728798.3650808,93926,0.01170328352600336
1528729061.0694122,95805,0.011838891543447971
1528729189.5121691,98116,0.011948496103286743
1528729432.4929912,99771,0.01159630250185728
