Wall time,Step,Value
1524228446.9249713,0,1.9215976863051765e-05
1524229091.6707776,786,0.9994710683822632
1524229606.3447788,1615,0.9996720552444458
1524230250.4673495,2463,1.0
1524230911.812202,3322,0.9999322295188904
1524231423.1249042,4183,1.0
1524232073.7510595,5016,1.0
1524232595.8523307,5871,1.0
1524233250.3340783,6726,1.0
1524233903.3182943,7582,0.9999322295188904
1524234423.4767923,8440,1.0
1524235073.3427565,9298,1.0
1524235723.4283233,10158,1.0
1524236245.5481813,11018,1.0
1524236895.6622925,11877,1.0
1524237401.479025,12737,1.0
1524238051.137555,13596,1.0
1524238716.522351,14454,1.0
1524239226.3372536,15315,1.0
1524239881.0502322,16171,1.0
1524240403.5970547,17030,1.0
1524241054.5738933,17889,1.0
1524241706.14316,18744,1.0
1524242226.6505682,19604,1.0
1524242876.1693964,20463,1.0
1524243526.4530709,21321,1.0
1524244046.839461,22178,1.0
1524244697.871954,23040,1.0
1524245203.3619146,23900,1.0
1524245855.1951997,24759,1.0
1524246518.7545543,25615,1.0
1524247029.836381,26474,1.0
1524247683.0003817,27332,1.0
1524248205.1139863,28189,1.0
1524248857.3796508,29049,1.0
1524249509.631038,29910,1.0
1524250029.1716325,30767,1.0
1524250680.0867789,31625,1.0
1524251186.5284088,32482,1.0
1524251837.7596319,33340,1.0
1524252501.428419,34195,1.0
1524253007.7719586,35052,1.0
1524253661.138473,35910,1.0
1524254321.5295122,36769,1.0
1524254835.8617918,37628,1.0
1524255491.0644426,38487,1.0
1524256011.799227,39347,1.0
1524256661.1522455,40205,1.0
1524257311.5309715,41063,1.0
1524257832.8662555,41927,0.9999322295188904
1524258483.159218,42787,1.0
1524258990.0438802,43646,1.0
1524259639.405328,44501,1.0
1524260303.7791736,45358,1.0
1524260813.261095,46218,1.0
1524261466.1442337,47077,1.0
1524262124.8914657,47935,1.0
1524262640.730254,48797,1.0
1524263293.453453,49660,1.0
1524263814.3858669,50519,1.0
1524264465.521357,51379,1.0
1524265115.2968001,52242,1.0
1524265634.9925075,53102,1.0
1524266286.0488915,53964,1.0
1524266792.7145693,54824,1.0
1524267444.2303805,55682,1.0
1524268107.1273503,56537,1.0
1524268616.9954166,57398,1.0
1524269270.5680728,58257,1.0
1524269793.4326036,59117,1.0
1524270445.833574,59976,1.0
1524271099.3460908,60835,1.0
1524271618.116507,61696,1.0
1524272269.2755444,62556,1.0
1524272920.2920904,63417,1.0
1524273439.1661646,64279,1.0
1524274090.272219,65139,1.0
1524274597.063203,65999,1.0
1524275247.0704474,66858,1.0
1524275911.2237892,67716,1.0
1524276421.003411,68578,1.0
1524277074.156314,69439,1.0
1524277597.7808058,70298,1.0
1524278249.59202,71159,1.0
1524278901.569493,72017,1.0
1524279422.0398877,72880,1.0
1524280072.4191022,73741,1.0
1524280723.2853658,74602,1.0
1524281243.692048,75462,1.0
1524281893.8847597,76326,1.0
1524282400.7045627,77186,1.0
1524283051.1493924,78043,1.0
1524283715.0451329,78901,1.0
1524284224.6749494,79762,1.0
1524284878.0826244,80621,1.0
1524285400.471227,81481,1.0
1524286052.8605468,82338,1.0
1524286706.202746,83197,1.0
1524287225.5760915,84057,1.0
1524287876.593373,84916,1.0
1524288527.3971636,85778,1.0
1524289046.568697,86639,1.0
1524289697.9460795,87497,1.0
1524290203.9068005,88354,1.0
1524290867.343715,89213,1.0
1524291519.14052,90069,1.0
1524292028.1101303,90928,1.0
1524292679.6734867,91785,1.0
1524293203.5194376,92643,1.0
1524293856.9837646,93500,1.0
1524294506.87824,94361,1.0
1524295030.656783,95218,1.0
1524295680.099867,96078,1.0
1524296187.2046793,96938,1.0
1524296851.5419645,97796,1.0
1524297501.0858517,98655,1.0
1524298008.4479601,99512,1.0
