Wall time,Step,Value
1524133637.6631114,0,1.7655211195233278e-05
1524134346.915511,1237,0.9914299845695496
1524134783.8008375,2380,0.9998759627342224
1524135445.9030023,3805,0.9981757998466492
1524135948.919792,5235,0.9984715580940247
1524136611.1096835,6666,1.0
1524137254.8546948,8090,1.0
1524137770.0211716,9517,0.9994375705718994
1524138425.0361512,10942,1.0
1524139076.0446186,12369,0.9994980692863464
1524139594.8363647,13795,0.999625027179718
1524140245.544344,15218,1.0
1524140761.1640017,16642,0.999875009059906
1524141416.7999024,18070,1.0
1524142066.6738784,19495,0.9999375343322754
1524142585.956865,20916,1.0
1524143236.5507076,22342,1.0
1524143752.3273478,23768,1.0
1524144407.010207,25193,1.0
1524145057.7572994,26620,1.0
1524145577.7571237,28050,1.0
1524146228.0222068,29475,1.0
1524146879.0919514,30897,1.0
1524147398.1406457,32325,1.0
1524148049.950776,33753,1.0
1524148565.0763423,35182,1.0
1524149219.1849875,36616,1.0
1524149870.3942847,38048,1.0
1524150390.1703107,39476,1.0
1524151040.3645291,40907,1.0
1524151556.7070277,42334,1.0
1524152211.471995,43762,1.0
1524152861.9258273,45192,1.0
1524153381.3120441,46617,1.0
1524154032.6958275,48044,1.0
1524154548.162524,49473,1.0
1524155203.0751884,50902,1.0
1524155853.1113722,52331,1.0
1524156369.1191561,53761,1.0
1524157023.7135584,55190,1.0
1524157673.231481,56622,1.0
1524158193.525786,58056,1.0
1524158843.7432415,59489,1.0
1524159359.996172,60920,1.0
1524160014.865423,62352,1.0
1524160664.8818994,63784,1.0
1524161185.1559238,65216,1.0
1524161836.2893872,66647,1.0
1524162352.0754151,68079,1.0
1524163007.1031086,69510,1.0
1524163656.7725608,70940,1.0
1524164172.9796007,72368,1.0
1524164827.603341,73799,1.0
1524165477.8912892,75228,1.0
1524165998.5951893,76657,1.0
1524166648.3298721,78086,1.0
1524167165.178713,79516,1.0
1524167819.276965,80948,1.0
1524168469.2415664,82374,1.0
1524168989.718561,83800,1.0
1524169640.6110494,85227,1.0
1524170156.367203,86657,1.0
1524170811.205877,88086,1.0
1524171462.2389896,89513,1.0
1524171981.1835437,90939,1.0
1524172631.2577288,92366,1.0
1524173148.149527,93792,1.0
1524173802.3401263,95219,1.0
1524174452.8779423,96646,1.0
1524174969.038853,98073,1.0
1524175623.1101046,99501,1.0
