Wall time,Step,Value
1524652143.8923059,0,5.5756900110282004e-05
1524652823.6418982,1559,0.9988852739334106
1524653303.5042243,3080,1.0
1524653952.5969625,4732,1.0
1524654602.1556194,6390,1.0
1524655122.653673,8051,0.9999299645423889
1524655774.189277,9710,1.0
1524656421.096438,11369,1.0
1524656943.6867163,13025,1.0
1524657597.525321,14681,1.0
1524658115.9152997,16312,1.0
1524658765.2119248,17967,1.0
1524659412.2197871,19607,1.0
1524659936.1952922,21260,1.0
1524660586.4784918,22912,0.9998599290847778
1524661104.6618667,24567,1.0
1524661754.7272801,26217,0.9999299645423889
1524662404.904496,27873,1.0
1524662925.344176,29527,1.0
1524663575.1010034,31178,1.0
1524664095.6633635,32834,1.0
1524664746.8157868,34484,1.0
1524665396.1373856,36141,1.0
1524665916.498899,37794,1.0
1524666567.1579838,39442,1.0
1524667214.9238076,41088,1.0
1524667738.1833913,42733,1.0
1524668388.357011,44389,1.0
1524668908.2420402,46031,1.0
1524669560.3562915,47684,1.0
1524670210.0176857,49334,1.0
1524670729.7946641,50988,1.0
1524671380.6985314,52640,1.0
1524671899.282291,54289,1.0
1524672549.6171763,55941,1.0
1524673199.9944348,57594,1.0
1524673720.154877,59251,1.0
1524674370.8776388,60901,1.0
1524675019.0395043,62556,1.0
1524675540.9214315,64206,1.0
1524676191.397039,65861,1.0
1524676711.1442392,67512,1.0
1524677362.2826874,69162,1.0
1524678010.1166906,70811,1.0
1524678532.7810879,72465,1.0
1524679182.4059224,74114,1.0
1524679702.7972155,75765,1.0
1524680353.2095149,77414,1.0
1524681003.5989912,79065,1.0
1524681523.9416132,80714,1.0
1524682173.7496212,82368,1.0
1524682821.9860253,84019,1.0
1524683344.7110817,85674,1.0
1524683994.8884845,87327,1.0
1524684515.389092,88984,1.0
1524685165.473329,90640,1.0
1524685813.3756025,92290,1.0
1524686335.3129797,93947,1.0
1524686986.4006925,95606,1.0
1524687506.5690928,97265,1.0
1524688157.3853831,98921,1.0
