Wall time,Step,Value
1524749931.161913,0,3.0634450912475586
1524749972.9817073,61,2.4721858501434326
1524750035.460286,144,2.1832404136657715
1524750094.0750432,152,2.296441078186035
1524750153.1415582,233,2.3350472450256348
1524750213.267859,323,1.8960555791854858
1524750272.9049215,414,1.5149468183517456
1524750332.754621,505,1.7303732633590698
1524750392.9558089,593,1.4828460216522217
1524750452.9921367,684,1.472826600074768
1524750513.164141,775,1.2408950328826904
1524750601.9662733,829,1.2737302780151367
1524750639.2326663,829,1.4080806970596313
1524750692.9102206,891,1.182159185409546
1524750752.9174848,979,1.1444469690322876
1524750812.9845693,1070,0.8983315825462341
1524750873.3285851,1161,1.3459782600402832
1524750932.9171443,1251,1.0546194314956665
1524750993.2084742,1342,1.413222312927246
1524751053.0957675,1434,1.2808666229248047
1524751112.7758052,1524,1.0622309446334839
1524751172.9206564,1613,1.631564736366272
1524751232.8889964,1700,1.4494872093200684
1524751292.9811647,1782,1.1277539730072021
1524751352.816426,1872,1.3335322141647339
1524751412.883743,1963,1.1629245281219482
1524751473.154576,2055,1.4963146448135376
1524751533.581091,2146,1.3557008504867554
1524751592.8470738,2236,1.1632882356643677
1524751653.285087,2327,0.6659390926361084
1524751712.4598277,2417,1.062309741973877
1524751773.1434462,2503,1.005592703819275
1524751832.825089,2587,0.9943926930427551
1524751893.1537817,2675,1.083899974822998
1524751952.9363937,2766,0.9536948800086975
1524752012.7168975,2857,1.313873291015625
1524752073.3103542,2948,1.2001577615737915
1524752133.0948186,3039,1.043300986289978
1524752193.3231838,3130,1.246825933456421
1524752253.4299848,3221,1.287249207496643
1524752312.7204473,3311,1.03827965259552
1524752372.7249384,3397,1.5024805068969727
1524752433.2111855,3483,0.6912355422973633
1524752492.775577,3569,1.1004940271377563
1524752552.7148814,3659,1.4832509756088257
1524752612.7528813,3750,1.084496021270752
1524752672.8450568,3841,1.2535741329193115
1524752732.7329898,3933,1.5533450841903687
1524752792.8819788,4024,1.4166595935821533
1524752853.0055974,4115,1.2264901399612427
1524752913.2837133,4207,0.9701775312423706
1524752973.2072818,4287,0.9942048192024231
1524753032.7744808,4373,0.829744815826416
1524753093.058913,4465,1.3302152156829834
1524753153.4999046,4555,1.710661768913269
1524753213.5553067,4645,1.1273691654205322
1524753273.2176185,4736,1.5800912380218506
1524753333.1754253,4827,1.4914289712905884
1524753392.7483504,4917,1.3881903886795044
1524753452.718624,5009,1.3992043733596802
1524753513.056582,5100,1.0762276649475098
1524753573.099041,5186,1.3050068616867065
1524753632.9308422,5267,1.2275532484054565
1524753693.4969826,5359,1.2545499801635742
1524753752.771251,5449,0.9928728342056274
1524753812.702701,5540,1.2817051410675049
1524753873.0613182,5630,1.1550806760787964
1524753932.7964008,5722,0.926361620426178
1524753992.5190527,5812,1.2028669118881226
1524754053.1945019,5904,0.871110200881958
1524754112.8892279,5995,0.9351391792297363
1524754173.150948,6083,1.0553308725357056
1524754232.8841932,6169,1.2642910480499268
1524754292.9281185,6253,1.3709076642990112
1524754352.8835373,6343,1.272263526916504
1524754413.2357705,6434,1.149797797203064
1524754472.81834,6524,1.2451637983322144
1524754532.8680344,6615,0.961800217628479
1524754592.7303061,6705,1.3984805345535278
1524754652.9711692,6797,1.2063090801239014
1524754712.8578296,6887,0.6312674880027771
1524754772.7875562,6971,0.8011871576309204
1524754833.0895724,7056,0.9054198265075684
1524754893.281475,7146,1.6458508968353271
1524754953.5092463,7238,1.0131028890609741
1524755012.6720014,7328,1.7451823949813843
1524755073.0903525,7419,0.9010134339332581
1524755132.619171,7509,1.3785784244537354
1524755192.7795143,7601,1.203418493270874
1524755253.4795356,7692,1.142889380455017
1524755312.6902642,7782,1.058510184288025
1524755373.0940042,7868,1.0335320234298706
1524755433.663709,7953,1.1564627885818481
1524755493.0391884,8040,1.310731053352356
1524755552.7145061,8131,1.5865137577056885
1524755613.1324244,8222,1.2844784259796143
1524755673.125127,8313,0.9173575043678284
1524755733.0276222,8404,1.1878830194473267
1524755793.1158803,8495,1.115715503692627
1524755853.1708663,8586,1.0804383754730225
1524755913.2008178,8677,1.5591236352920532
1524755972.8587306,8766,1.2157188653945923
1524756032.8854477,8854,0.9772957563400269
1524756093.3156173,8937,1.0600634813308716
1524756153.3824,9027,0.835178017616272
1524756212.8004644,9117,1.1398323774337769
1524756272.9315543,9209,0.917798638343811
1524756332.7765303,9300,1.182305932044983
1524756392.632537,9390,0.9988802075386047
1524756452.7710457,9481,0.7976537346839905
1524756512.9393482,9573,1.4625003337860107
1524756573.164479,9661,1.4016029834747314
1524756633.636407,9745,0.9591214060783386
1524756693.034153,9832,0.8148558139801025
1524756753.1945264,9923,0.8576205968856812
1524756813.287891,10014,1.1749141216278076
1524756872.7936845,10105,0.7918724417686462
1524756933.021638,10196,0.8472154140472412
1524756992.9832394,10285,1.456884503364563
1524757053.221091,10377,1.3353341817855835
1524757112.963127,10467,1.040129542350769
1524757173.2380216,10554,1.0361124277114868
1524757233.210709,10640,1.003318428993225
1524757292.5961242,10724,1.19029700756073
1524757352.607548,10815,1.180568814277649
1524757413.1925151,10907,0.7214888334274292
1524757473.1955633,10998,1.004012942314148
1524757533.2667482,11089,1.4362162351608276
1524757592.8667243,11180,1.2700986862182617
1524757653.1016924,11271,1.4520806074142456
1524757712.928015,11361,0.9775201678276062
1524757773.0056899,11443,1.408873200416565
1524757833.0597181,11528,1.1166726350784302
1524757892.721079,11617,1.135189414024353
1524757952.9735487,11708,0.8973190188407898
1524758012.850089,11800,0.863463819026947
1524758073.5128872,11891,0.7958739995956421
1524758133.3311942,11982,1.307234287261963
1524758193.1676805,12073,0.937518835067749
1524758252.8633454,12164,0.8321681022644043
1524758312.8404162,12254,1.2707257270812988
1524758373.1266327,12340,0.5991804003715515
1524758432.8680615,12422,1.010514259338379
1524758493.0856817,12512,1.04052734375
1524758552.942782,12603,1.4668470621109009
1524758613.0680442,12694,1.1437139511108398
1524758672.8408852,12784,1.1976393461227417
1524758732.9022849,12876,0.5831271409988403
1524758792.5940557,12966,1.295863389968872
1524758852.9999673,13058,1.051601767539978
1524758912.9363382,13148,1.4946955442428589
1524758973.1008365,13237,0.9255313873291016
1524759032.8021417,13324,1.4880468845367432
1524759093.2944217,13406,1.2093485593795776
1524759152.7961621,13496,0.44833841919898987
1524759212.5074399,13586,1.0036057233810425
1524759272.882875,13677,0.9438712000846863
1524759332.6859922,13768,1.1188727617263794
1524759392.916711,13860,1.2544556856155396
1524759453.013998,13950,0.8918211460113525
1524759512.889095,14041,1.2801612615585327
1524759573.0042396,14127,1.0446748733520508
1524759633.1935468,14211,0.9618192911148071
1524759693.1617744,14299,1.2676578760147095
1524759753.1037433,14390,1.508115530014038
1524759812.9203084,14481,1.0946457386016846
1524759872.6807494,14572,1.4017019271850586
1524759932.8092191,14663,1.0206122398376465
1524759992.8476307,14753,0.9906976819038391
1524760053.0601861,14845,0.8052211403846741
1524760112.7783833,14936,1.396189570426941
1524760173.1217327,15023,1.1342979669570923
1524760232.9810255,15109,1.1207845211029053
1524760292.9062557,15194,1.4371922016143799
1524760352.9922984,15284,0.9092541933059692
1524760413.1085694,15376,1.6139241456985474
1524760472.8721254,15466,0.9518258571624756
1524760533.319029,15558,0.7798985242843628
1524760592.89808,15648,0.9123912453651428
