Wall time,Step,Value
1528203293.507541,0,nan
1528203457.6344366,197,nan
1528203696.783798,519,nan
1528203937.0901349,835,nan
1528204176.948272,1151,nan
1528204417.3050776,1468,nan
1528204657.2904053,1784,nan
1528204897.598939,2101,nan
1528205137.723385,2417,nan
1528205378.6439087,2734,nan
1528205618.2865775,3051,nan
1528205858.5107813,3368,nan
1528206099.2885916,3685,nan
1528206338.1656911,4002,nan
1528206578.3713512,4319,nan
1528206819.2377324,4635,nan
1528207058.7034278,4952,nan
1528207299.6085458,5270,nan
1528207539.5550144,5587,nan
1528207779.1284757,5903,nan
1528208019.6189885,6220,nan
1528208259.847535,6537,nan
1528208500.0541968,6856,nan
1528208740.0382953,7174,nan
1528208980.708189,7490,nan
1528209220.406049,7807,nan
1528209460.7161095,8126,nan
1528209700.579513,8444,nan
1528209940.688015,8761,nan
1528210181.4315305,9080,nan
1528210421.5022926,9397,nan
1528210661.7111235,9715,nan
1528210901.9859235,10034,nan
1528211141.6036747,10353,nan
1528211381.806395,10671,nan
1528211622.538655,10988,nan
1528211862.6214683,11306,nan
1528212102.2315075,11624,nan
1528212342.1255376,11941,nan
1528212582.6667356,12259,nan
1528212822.752919,12576,nan
1528213063.3954282,12893,nan
1528213256.8147526,13210,nan
1528213531.867909,13500,nan
1528213754.7678568,13618,nan
1528213997.4937594,13921,nan
1528214238.4953783,14235,nan
1528214478.2556174,14551,nan
1528214718.4843485,14866,nan
1528214958.8241227,15182,nan
1528215199.2061145,15498,nan
1528215439.2453148,15814,nan
1528215679.3699014,16130,nan
1528215919.5311146,16446,nan
1528216158.270245,16761,nan
1528216400.4367056,17069,nan
1528216640.0535402,17385,nan
1528216880.1105194,17701,nan
1528217120.2258735,18017,nan
1528217360.4095612,18333,nan
1528217600.601912,18648,nan
1528217840.7247064,18964,nan
1528218081.3380203,19280,nan
1528218321.1875196,19595,nan
1528218561.4433322,19911,nan
1528218802.0968025,20227,nan
1528219041.4842644,20542,nan
1528219281.7705986,20857,nan
1528219521.9465854,21173,nan
1528219762.2114272,21488,nan
1528220001.6951797,21804,nan
1528220242.5635226,22119,nan
1528220482.665545,22435,nan
1528220722.0810528,22750,nan
1528220962.652283,23065,nan
1528221203.383102,23381,nan
1528221443.2382202,23696,nan
1528221683.585355,24011,nan
1528221923.3334632,24326,nan
1528222163.0634422,24642,nan
1528222403.7249787,24957,nan
1528222621.1501548,25273,nan
1528222883.7815166,25481,nan
1528223123.680176,25797,nan
1528223364.3635292,26112,nan
1528223604.9496953,26427,nan
1528223844.45475,26743,nan
1528224084.3461723,27058,nan
1528224324.7006707,27373,nan
1528224564.7595513,27688,nan
1528224805.5479374,28004,nan
1528225045.740958,28319,nan
1528225285.3160038,28634,nan
1528225526.007129,28949,nan
1528225765.6443048,29264,nan
1528226005.9181821,29579,nan
1528226245.9615495,29895,nan
1528226485.9369073,30210,nan
1528226726.1171327,30526,nan
1528226966.4594572,30842,nan
1528227206.6028,31157,nan
1528227447.0348136,31473,nan
1528227687.1787684,31788,nan
1528227926.6604066,32104,nan
1528228167.0256886,32420,nan
1528228407.1807845,32735,nan
1528228647.363794,33052,nan
1528228884.7746325,33368,nan
1528229120.189976,33685,nan
1528229365.083699,33999,nan
1528229605.1706991,34315,nan
1528229845.5935063,34632,nan
1528230085.7368183,34949,nan
1528230325.5214138,35265,nan
1528230565.805089,35582,nan
1528230805.7151303,35898,nan
1528231045.692244,36215,nan
1528231286.4199526,36532,nan
1528231526.0664065,36849,nan
1528231766.562744,37166,nan
1528232006.3366945,37483,nan
1528232246.9962626,37800,nan
1528232486.7207527,38118,nan
1528232727.0268004,38434,nan
1528232967.7312253,38751,nan
1528233207.1561663,39068,nan
1528233447.311468,39385,nan
1528233687.4732041,39702,nan
