Wall time,Step,Value
1524578343.4158525,0,8.202847311622463e-06
1524578822.461638,1037,0.997374415397644
1524579471.8474443,2164,0.9998611211776733
1524580121.8581793,3292,1.0
1524580643.019862,4419,1.0
1524581293.3809319,5546,0.9997904896736145
1524581812.478066,6674,1.0
1524582463.0968053,7804,1.0
1524583113.3693645,8934,1.0
1524583634.0429916,10063,0.9997267127037048
1524584284.25382,11191,0.9997898936271667
1524584804.673799,12321,1.0
1524585454.9084694,13446,1.0
1524586104.7866414,14573,1.0
1524586625.048567,15700,1.0
1524587275.299881,16827,1.0
1524587923.05649,17954,1.0
1524588446.0926452,19081,1.0
1524589096.5741165,20207,1.0
1524589616.6953607,21335,1.0
1524590267.3504548,22460,1.0
1524590917.6428056,23587,0.9999299645423889
1524591437.540237,24715,1.0
1524592088.3318386,25843,1.0
1524592608.0326664,26971,1.0
1524593258.7135565,28100,0.9999299645423889
1524593908.708418,29228,1.0
1524594428.7615948,30356,0.9999299645423889
1524595079.5163682,31484,1.0
1524595599.9451573,32611,1.0
1524596249.9606602,33739,1.0
1524596900.3577783,34866,1.0
1524597420.911714,35994,1.0
1524598070.8797185,37120,1.0
1524598721.4154153,38248,1.0
1524599241.4437149,39377,1.0
1524599892.128256,40506,1.0
1524600412.3130736,41633,1.0
1524601061.811388,42760,1.0
1524601712.7730956,43888,1.0
1524602232.7269785,45015,1.0
1524602882.634395,46143,1.0
1524603402.4698436,47270,1.0
1524604053.7783375,48399,0.9997904896736145
1524604704.0025306,49529,1.0
1524605224.2815688,50658,1.0
1524605874.4202085,51790,1.0
1524606521.4085069,52920,1.0
1524607044.7400396,54050,1.0
1524607695.5335536,55180,1.0
1524608215.1717153,56310,1.0
1524608866.105145,57440,1.0
1524609516.443284,58571,1.0
1524610036.4816782,59700,1.0
1524610687.243461,60829,1.0
1524611206.9595072,61960,1.0
1524611857.1257,63090,1.0
1524612507.8066845,64220,1.0
1524613028.0690448,65351,1.0
1524613677.8994648,66481,1.0
1524614198.3394892,67611,1.0
1524614848.390804,68742,1.0
1524615499.1213357,69873,1.0
1524616019.3033345,71001,1.0
1524616670.1131582,72130,1.0
1524617319.953619,73260,1.0
1524617840.8863895,74390,1.0
1524618490.7961893,75520,1.0
1524619011.2649238,76649,1.0
1524619661.1674962,77779,1.0
1524620311.2270112,78910,1.0
1524620830.7955627,80041,1.0
1524621481.9314892,81170,1.0
1524622001.5511608,82301,1.0
1524622652.518052,83431,1.0
1524623302.8632371,84561,1.0
1524623822.8969538,85691,1.0
1524624473.2511675,86822,1.0
1524625123.9701061,87952,1.0
1524625644.348411,89081,1.0
1524626293.8718255,90212,1.0
1524626814.0472682,91343,1.0
1524627464.3295195,92475,1.0
1524628115.307501,93608,1.0
1524628635.6898959,94743,1.0
1524629285.7782738,95876,1.0
1524629806.1604338,97009,1.0
1524630462.1830866,98130,1.0
1524631106.9334908,99245,1.0
