Wall time,Step,Value
1524043191.730062,0,3.7149518448131857e-06
1524043709.3738408,1109,0.9983778595924377
1524044359.900972,2218,1.0
1524044879.57742,3342,0.9996948838233948
1524045529.4303184,4466,1.0
1524046174.9047637,5589,0.9947368502616882
1524046700.9885514,6711,1.0
1524047352.086921,7830,1.0
1524047870.1067247,8951,1.0
1524048520.6093981,10074,1.0
1524049170.4219422,11199,1.0
1524049690.8280919,12326,1.0
1524050341.1234267,13453,1.0
1524050987.4835877,14582,1.0
1524051511.861719,15709,1.0
1524052162.1848752,16833,1.0
1524052682.3760436,17956,1.0
1524053332.0771043,19076,1.0
1524053978.8827395,20193,1.0
1524054503.588063,21315,1.0
1524055153.1853268,22440,1.0
1524055673.6035728,23565,1.0
1524056323.930835,24692,1.0
1524056974.4963474,25812,1.0
1524057495.1079366,26939,1.0
1524058144.7299428,28066,1.0
1524058665.0032601,29192,1.0
1524059315.4288595,30317,1.0
1524059966.2434936,31443,1.0
1524060488.2198577,32569,1.0
1524061136.5732362,33690,1.0
1524061783.8417413,34819,1.0
1524062306.7675464,35946,1.0
1524062957.7703438,37075,1.0
1524063478.146292,38205,1.0
1524064128.590434,39335,1.0
1524064778.3417647,40466,1.0
1524065298.6248865,41595,1.0
1524065949.043396,42722,1.0
1524066468.4518352,43848,1.0
1524067119.8018818,44973,1.0
1524067769.943234,46100,1.0
1524068289.9004009,47228,1.0
1524068940.7472649,48357,1.0
1524069586.4934008,49485,0.9998487830162048
1524070111.1243758,50615,1.0
1524070760.977134,51746,1.0
1524071281.2678246,52876,1.0
1524071931.478775,54007,1.0
1524072578.0950074,55134,1.0
1524073102.1434798,56263,1.0
1524073753.037736,57391,1.0
1524074273.0165431,58520,1.0
1524074922.900654,59647,1.0
1524075573.2744758,60773,1.0
1524076093.5734496,61900,1.0
1524076743.670895,63027,1.0
1524077263.668834,64156,1.0
1524077914.7493055,65285,1.0
1524078564.4646254,66414,1.0
1524079084.6453555,67544,1.0
1524079735.6890965,68674,1.0
1524080381.4376485,69805,1.0
1524080905.0950665,70934,1.0
1524081556.5941002,72066,1.0
1524082076.5249016,73194,1.0
1524082726.6194649,74325,1.0
1524083377.5186307,75455,1.0
1524083896.761158,76585,1.0
1524084547.5541856,77717,1.0
1524085067.690269,78850,1.0
1524085718.4309452,79984,1.0
1524086367.9519837,81115,1.0
1524086888.6083922,82246,1.0
1524087538.4200032,83377,1.0
1524088185.2169495,84507,1.0
1524088709.6023533,85635,1.0
1524089360.0173795,86767,1.0
1524089879.92761,87900,1.0
1524090530.8640735,89029,1.0
1524091176.72529,90160,1.0
1524091701.443685,91291,1.0
1524092351.8414695,92422,1.0
1524092871.94028,93555,1.0
1524093522.5270588,94688,1.0
1524094172.9378586,95821,1.0
1524094692.7688606,96956,1.0
1524095342.7396808,98087,1.0
1524095863.366505,99219,1.0
