Wall time,Step,Value
1524043191.7304683,0,1.7746229787007906e-05
1524043709.3742673,1109,0.9811025857925415
1524044359.901478,2218,0.9936157464981079
1524044879.577763,3342,0.988328218460083
1524045529.4307377,4466,0.9987307190895081
1524046174.9051623,5589,1.0
1524046700.9888453,6711,1.0
1524047352.0873585,7830,1.0
1524047870.1069314,8951,1.0
1524048520.6098542,10074,1.0
1524049170.422304,11199,1.0
1524049690.8284717,12326,1.0
1524050341.1237867,13453,0.9997557997703552
1524050987.4838128,14582,1.0
1524051511.8629909,15709,1.0
1524052162.1859493,16833,1.0
1524052682.3763475,17956,1.0
1524053332.0775375,19076,0.9999375343322754
1524053978.8832755,20193,0.9994375705718994
1524054503.588272,21315,1.0
1524055153.1858478,22440,1.0
1524055673.6047318,23565,1.0
1524056323.9313612,24692,1.0
1524056974.496754,25812,1.0
1524057495.108096,26939,1.0
1524058144.7303872,28066,1.0
1524058665.0035105,29192,1.0
1524059315.4291553,30317,1.0
1524059966.2440083,31443,1.0
1524060488.2205615,32569,1.0
1524061136.5736365,33690,1.0
1524061783.842058,34819,1.0
1524062306.7679963,35946,1.0
1524062957.7708154,37075,1.0
1524063478.1467319,38205,1.0
1524064128.5909202,39335,1.0
1524064778.342107,40466,0.9998125433921814
1524065298.6252685,41595,1.0
1524065949.043783,42722,0.999625027179718
1524066468.4531026,43848,1.0
1524067119.802469,44973,0.999750018119812
1524067769.94481,46100,0.9996875524520874
1524068289.9009125,47228,1.0
1524068940.7477856,48357,0.999750018119812
1524069586.49386,49485,1.0
1524070111.124887,50615,1.0
1524070760.9775817,51746,1.0
1524071281.2682517,52876,1.0
1524071931.4791193,54007,1.0
1524072578.0955293,55134,1.0
1524073102.144087,56263,1.0
1524073753.0389464,57391,1.0
1524074273.0168333,58520,1.0
1524074922.9010088,59647,1.0
1524075573.2758462,60773,1.0
1524076093.573964,61900,1.0
1524076743.6711955,63027,1.0
1524077263.6692374,64156,1.0
1524077914.749814,65285,1.0
1524078564.4654398,66414,1.0
1524079084.6458166,67544,1.0
1524079735.68964,68674,1.0
1524080381.438062,69805,1.0
1524080905.095545,70934,1.0
1524081556.5943666,72066,1.0
1524082076.5252414,73194,1.0
1524082726.6199784,74325,1.0
1524083377.5190053,75455,1.0
1524083896.7616901,76585,1.0
1524084547.5544744,77717,1.0
1524085067.6905243,78850,1.0
1524085718.4316163,79984,1.0
1524086367.9524162,81115,1.0
1524086888.6087334,82246,1.0
1524087538.4205432,83377,1.0
1524088185.2171085,84507,1.0
1524088709.602803,85635,1.0
1524089360.0177937,86767,1.0
1524089879.9279778,87900,1.0
1524090530.864473,89029,1.0
1524091176.7254946,90160,1.0
1524091701.4442365,91291,1.0
1524092351.8418684,92422,1.0
1524092871.9408312,93555,1.0
1524093522.5273597,94688,1.0
1524094172.9383757,95821,1.0
1524094692.7693753,96956,1.0
1524095342.740195,98087,1.0
1524095863.367033,99219,1.0
