Wall time,Step,Value
1524043191.7306128,0,6.17832483840175e-05
1524043709.3743672,1109,0.9776710271835327
1524044359.9016182,2218,0.9865534901618958
1524044879.5778692,3342,0.9983801245689392
1524045529.4308631,4466,0.9894677400588989
1524046174.9053528,5589,0.9919689297676086
1524046700.9889367,6711,0.9964125156402588
1524047352.0875094,7830,0.9961415529251099
1524047870.107274,8951,0.9994704723358154
1524048520.6099768,10074,0.998249351978302
1524049170.422431,11199,0.9987632632255554
1524049690.8285594,12326,0.9954097270965576
1524050341.1239827,13453,0.9997290372848511
1524050987.483875,14582,0.9993191957473755
1524051511.8631692,15709,0.9997355341911316
1524052162.1860592,16833,0.9998655915260315
1524052682.3764327,17956,1.0
1524053332.0776787,19076,0.9958053827285767
1524053978.8833728,20193,0.997930645942688
1524054503.5883343,21315,0.9968253970146179
1524055153.1860113,22440,0.9997355341911316
1524055673.6048656,23565,0.9989665150642395
1524056323.9315302,24692,1.0
1524056974.4968777,25812,1.0
1524057495.1081507,26939,0.9998645186424255
1524058144.7305326,28066,0.9999322295188904
1524058665.0035627,29192,0.9964113235473633
1524059315.429248,30317,0.9960371851921082
1524059966.2441738,31443,1.0
1524060488.2207499,32569,1.0
1524061136.5737634,33690,0.9990573525428772
1524061783.8421705,34819,0.9970831274986267
1524062306.7680597,35946,0.9999322295188904
1524062957.7709475,37075,0.9988784193992615
1524063478.1468763,38205,1.0
1524064128.5911074,39335,1.0
1524064778.3422008,40466,0.9993225932121277
1524065298.6253903,41595,0.9961998462677002
1524065949.0438967,42722,0.9998000264167786
1524066468.4533103,43848,1.0
1524067119.8027081,44973,0.9998655915260315
1524067769.944973,46100,1.0
1524068289.9010766,47228,0.9998655915260315
1524068940.7479498,48357,0.9999322295188904
1524069586.4939384,49485,0.9999322295188904
1524070111.1250508,50615,1.0
1524070760.9777815,51746,1.0
1524071281.268371,52876,1.0
1524071931.4792256,54007,1.0
1524072578.0956938,55134,1.0
1524073102.1442554,56263,1.0
1524073753.039084,57391,1.0
1524074273.016925,58520,1.0
1524074922.9010627,59647,1.0
1524075573.275957,60773,1.0
1524076093.5740802,61900,1.0
1524076743.6713116,63027,1.0
1524077263.6693428,64156,1.0
1524077914.7499783,65285,1.0
1524078564.465502,66414,1.0
1524079084.6458943,67544,1.0
1524079735.6898181,68674,1.0
1524080381.4381685,69805,1.0
1524080905.0956662,70934,1.0
1524081556.594514,72066,1.0
1524082076.5253577,73194,1.0
1524082726.620098,74325,1.0
1524083377.5191293,75455,1.0
1524083896.7617502,76585,1.0
1524084547.55456,77717,1.0
1524085067.6906002,78850,1.0
1524085718.4317427,79984,1.0
1524086367.9525335,81115,1.0
1524086888.6088462,82246,1.0
1524087538.4206645,83377,1.0
1524088185.217156,84507,1.0
1524088709.6029317,85635,1.0
1524089360.0179133,86767,1.0
1524089879.9280708,87900,1.0
1524090530.864598,89029,1.0
1524091176.7255564,90160,1.0
1524091701.4443922,91291,1.0
1524092351.8419707,92422,1.0
1524092871.9409354,93555,1.0
1524093522.5274498,94688,1.0
1524094172.9385388,95821,1.0
1524094692.769538,96956,1.0
1524095342.7403607,98087,1.0
1524095863.367198,99219,1.0
