Wall time,Step,Value
1526633270.9801977,0,0.007384070195257664
1526633511.8406975,1838,0.9882698655128479
1526633751.8563213,3556,0.9955491423606873
1526633992.2014947,5279,0.9998148679733276
1526634231.8334937,7020,1.0
1526634472.8953137,8738,1.0
1526634712.2062347,10470,1.0
1526634953.1314778,12215,1.0
1526635192.689056,13942,1.0
1526635433.4333706,15687,1.0
1526635673.2343578,17415,1.0
1526635913.4581056,19154,1.0
1526636153.6516297,20892,1.0
1526636394.3497012,22632,1.0
1526636634.2112186,24354,1.0
1526636874.1004562,26092,1.0
1526637113.9924374,27818,1.0
1526637354.3019934,29553,1.0
1526637594.5235066,31262,1.0
1526637834.83427,33000,1.0
1526638074.4218473,34729,1.0
1526638314.8689697,36442,1.0
1526638555.0679364,38175,1.0
1526638795.3620472,39893,1.0
1526639035.633074,41620,1.0
1526639275.9508803,43356,1.0
1526639515.973004,45090,1.0
1526639756.5243998,46819,1.0
1526639995.925289,48551,1.0
1526640235.948234,50292,1.0
1526640476.4664068,52009,1.0
1526640716.6164277,53743,1.0
1526640956.9471815,55471,1.0
1526641196.6507363,57208,1.0
1526641437.2379334,58955,1.0
1526641677.7129214,60699,1.0
1526641917.48204,62409,1.0
1526642158.0642815,64126,1.0
1526642397.8306732,65865,1.0
1526642638.4287622,67597,1.0
1526642877.4618256,69328,1.0
1526643118.098246,71022,1.0
1526643359.1798952,72741,1.0
1526643598.5081484,74470,1.0
1526643839.0122616,76199,1.0
1526644079.0355206,77919,1.0
1526644318.8478048,79653,1.0
1526644559.8453226,81367,1.0
1526644800.1385784,83102,1.0
1526645040.1209905,84833,1.0
1526645280.1412468,86547,1.0
1526645520.1758573,88278,1.0
1526645760.449304,89999,1.0
1526646001.1452315,91722,1.0
1526646240.7525122,93440,1.0
1526646480.9582405,95184,1.0
1526646720.7039566,96867,1.0
1526646961.2180114,98582,1.0
