Wall time,Step,Value
1526633270.9805498,0,0.0
1526633511.8411264,1838,0.9969248175621033
1526633751.8578362,3556,0.9987735748291016
1526633992.2017674,5279,0.999819815158844
1526634231.8343523,7020,1.0
1526634472.8959818,8738,1.0
1526634712.2070131,10470,1.0
1526634953.1318617,12215,1.0
1526635192.6895947,13942,1.0
1526635433.4338753,15687,1.0
1526635673.234749,17415,1.0
1526635913.458419,19154,1.0
1526636153.651973,20892,1.0
1526636394.3500857,22632,1.0
1526636634.213968,24354,1.0
1526636874.1008325,26092,1.0
1526637113.9930208,27818,1.0
1526637354.302533,29553,1.0
1526637594.5242062,31262,1.0
1526637834.834613,33000,1.0
1526638074.4223936,34729,1.0
1526638314.8693385,36442,1.0
1526638555.0686672,38175,1.0
1526638795.3624306,39893,1.0
1526639035.6335497,41620,1.0
1526639275.9514112,43356,1.0
1526639515.9732826,45090,1.0
1526639756.5248008,46819,1.0
1526639995.9255948,48551,1.0
1526640235.948753,50292,1.0
1526640476.466913,52009,1.0
1526640716.61726,53743,1.0
1526640956.9476736,55471,1.0
1526641196.651285,57208,1.0
1526641437.2382755,58955,1.0
1526641677.7132964,60699,1.0
1526641917.4823904,62409,1.0
1526642158.064625,64126,1.0
1526642397.831016,65865,1.0
1526642638.4290118,67597,1.0
1526642877.462378,69328,1.0
1526643118.0988703,71022,1.0
1526643359.1801736,72741,1.0
1526643598.508524,74470,1.0
1526643839.0128143,76199,1.0
1526644079.036059,77919,1.0
1526644318.8482294,79653,1.0
1526644559.8458626,81367,1.0
1526644800.1388872,83102,1.0
1526645040.1213782,84833,1.0
1526645280.1416013,86547,1.0
1526645520.1764202,88278,1.0
1526645760.4498465,89999,1.0
1526646001.1457756,91722,1.0
1526646240.753006,93440,1.0
1526646480.9588351,95184,1.0
1526646720.7060096,96867,1.0
1526646961.218506,98582,1.0
