Wall time,Step,Value
1526648721.6948879,0,0.022363968193531036
1526648975.7404566,1533,0.017270727083086967
1526649228.4646087,3265,0.009167331270873547
1526649481.0699067,5000,0.00827089324593544
1526649732.9399166,6740,0.006613647099584341
1526649985.4151647,8464,0.0067451572977006435
1526650241.6533778,10197,0.004021968226879835
1526650494.834799,11939,0.0037053886335343122
1526650748.4584656,13654,0.0037272810004651546
1526651002.7531614,15364,0.0034507429227232933
1526651256.6644661,17087,0.0035332273691892624
1526651509.5083704,18837,0.003660280257463455
1526651763.0590951,20579,0.0035517255309969187
1526652016.7900007,22307,0.0035250193905085325
1526652270.8490076,24050,0.0032145751174539328
1526652524.085889,27452,0.0034539923071861267
1526652778.5048842,29183,0.0035432870499789715
1526653032.7351058,30897,0.0032668395433574915
1526653285.9829288,32610,0.0034432108514010906
1526653538.7453523,34329,0.003436017083004117
1526653793.0135303,36060,0.003231781767681241
1526654046.464046,37786,0.00321652228012681
1526654299.1399026,39513,0.003472162177786231
1526654551.6680593,41246,0.003280619392171502
1526654804.8545024,42969,0.003370011691004038
1526655057.0236256,44691,0.003556203795596957
1526655309.0540018,46419,0.0034083907958120108
1526655562.4877234,48145,0.003452048636972904
1526655816.5293558,49856,0.003163350047543645
1526656070.8164833,51562,0.0033499335404485464
1526656325.6554587,53287,0.002934478921815753
1526656579.9290156,55006,0.0030217806342989206
1526656833.5151682,56758,0.002943669445812702
1526657087.4597464,60177,0.002875321311876178
1526657341.3884678,61903,0.0029341191984713078
1526657596.6245205,63609,0.0028960942290723324
1526657853.240685,65294,0.0028009535744786263
1526658106.7479324,66992,0.002821765374392271
1526658360.5703356,68723,0.0028675708454102278
1526658614.417299,70450,0.002994805108755827
1526658868.2134764,72190,0.0029191356152296066
1526659122.5927646,73911,0.0028547265101224184
1526659376.5730617,75643,0.002880723914131522
1526659629.9633145,77384,0.002896948717534542
1526659883.98797,79123,0.002889368450269103
1526660137.9010437,80855,0.0028913402929902077
1526660391.8791773,82570,0.0029829475097358227
1526660644.7421272,84298,0.0028132665902376175
1526660899.6128693,86021,0.0029725192580372095
1526661153.0277257,87749,0.0028890534304082394
1526661406.3673735,91190,0.0028698155656456947
1526661661.5132463,92927,0.002806355245411396
1526661915.4835627,94655,0.002845355775207281
1526662169.3579412,96371,0.0028037941083312035
1526662415.1060255,98075,0.002861534943804145
