Wall time,Step,Value
1526648721.6957695,0,2.2379274469130905e-06
1526648975.7420037,1533,0.9986504912376404
1526649228.4652457,3265,0.9973819255828857
1526649481.0715938,5000,0.9993252158164978
1526649732.9402723,6740,0.9986504912376404
1526649985.4154425,8464,1.0
1526650241.6543655,10197,1.0
1526650494.8353496,11939,1.0
1526650748.4591048,13654,1.0
1526651002.7534854,15364,1.0
1526651256.6662738,17087,1.0
1526651509.5117218,18837,1.0
1526651763.060646,20579,1.0
1526652016.7917373,22307,1.0
1526652270.8545854,24050,1.0
1526652524.0875762,27452,1.0
1526652778.5066292,29183,1.0
1526653032.7354088,30897,1.0
1526653285.983905,32610,1.0
1526653538.7471764,34329,1.0
1526653793.017344,36060,1.0
1526654046.4655318,37786,1.0
1526654299.1415462,39513,1.0
1526654551.669569,41246,1.0
1526654804.8573368,42969,1.0
1526655057.024708,44691,1.0
1526655309.057973,46419,1.0
1526655562.4889188,48145,1.0
1526655816.5322342,49856,1.0
1526656070.8185318,51562,1.0
1526656325.6569943,53287,1.0
1526656579.930668,55006,1.0
1526656833.5168457,56758,1.0
1526657087.4612048,60177,1.0
1526657341.3896923,61903,1.0
1526657596.626209,63609,1.0
1526657853.2418833,65294,1.0
1526658106.7491782,66992,1.0
1526658360.574977,68723,1.0
1526658614.4204202,70450,1.0
1526658868.2144454,72190,1.0
1526659122.5941007,73911,1.0
1526659376.5745864,75643,1.0
1526659629.9644246,77384,1.0
1526659883.98955,79123,1.0
1526660137.9024138,80855,1.0
1526660391.8842838,82570,1.0
1526660644.749541,84298,1.0
1526660899.6134844,86021,1.0
1526661153.029686,87749,1.0
1526661406.368639,91190,1.0
1526661661.5146258,92927,1.0
1526661915.4852285,94655,1.0
1526662169.360145,96371,1.0
1526662415.106434,98075,1.0
