Wall time,Step,Value
1526648721.6958857,0,0.0005602241144515574
1526648975.7423286,1533,0.963385820388794
1526649228.4654052,3265,0.9946508407592773
1526649481.0719569,5000,0.98410964012146
1526649732.9409475,6740,1.0
1526649985.4155247,8464,1.0
1526650241.654504,10197,1.0
1526650494.8354905,11939,1.0
1526650748.4592555,13654,1.0
1526651002.7535768,15364,1.0
1526651256.6663675,17087,1.0
1526651509.5118973,18837,1.0
1526651763.0606966,20579,1.0
1526652016.791877,22307,1.0
1526652270.8548071,24050,1.0
1526652524.0876334,27452,1.0
1526652778.5066938,29183,1.0
1526653032.7355368,30897,1.0
1526653285.9841115,32610,1.0
1526653538.747335,34329,1.0
1526653793.0175035,36060,1.0
1526654046.4656386,37786,1.0
1526654299.1416976,39513,1.0
1526654551.669682,41246,1.0
1526654804.8576334,42969,1.0
1526655057.0248642,44691,1.0
1526655309.0580697,46419,1.0
1526655562.488998,48145,1.0
1526655816.5324125,49856,1.0
1526656070.818631,51562,1.0
1526656325.6571484,53287,1.0
1526656579.9307518,55006,1.0
1526656833.5170434,56758,1.0
1526657087.4613178,60177,1.0
1526657341.389771,61903,0.999245822429657
1526657596.6263175,63609,1.0
1526657853.2421136,65294,1.0
1526658106.74937,66992,1.0
1526658360.5752225,68723,1.0
1526658614.4204721,70450,1.0
1526658868.2145374,72190,1.0
1526659122.5941746,73911,1.0
1526659376.57471,75643,1.0
1526659629.9645226,77384,1.0
1526659883.9896295,79123,1.0
1526660137.9025273,80855,1.0
1526660391.8844266,82570,1.0
1526660644.7496252,84298,1.0
1526660899.6135845,86021,1.0
1526661153.0297668,87749,1.0
1526661406.3687396,91190,1.0
1526661661.5147223,92927,1.0
1526661915.485386,94655,1.0
1526662169.3602717,96371,1.0
1526662415.1064825,98075,1.0
