Wall time,Step,Value
1526648721.6961439,0,0.0022051087580621243
1526648975.7450252,1533,0.9990530014038086
1526649228.4656072,3265,0.9962121248245239
1526649481.0724626,5000,0.9971590638160706
1526649732.9413567,6740,1.0
1526649985.415994,8464,1.0
1526650241.6548545,10197,1.0
1526650494.8357203,11939,1.0
1526650748.4596608,13654,1.0
1526651002.7539132,15364,1.0
1526651256.6665766,17087,1.0
1526651509.5121815,18837,1.0
1526651763.0608952,20579,1.0
1526652016.7920914,22307,1.0
1526652270.8550794,24050,1.0
1526652524.0877352,27452,1.0
1526652778.5068946,29183,1.0
1526653032.7358568,30897,1.0
1526653285.9843128,32610,1.0
1526653538.747549,34329,1.0
1526653793.0178475,36060,1.0
1526654046.4658563,37786,1.0
1526654299.1419394,39513,1.0
1526654551.6698887,41246,1.0
1526654804.858221,42969,1.0
1526655057.0251608,44691,1.0
1526655309.0582983,46419,1.0
1526655562.4891477,48145,1.0
1526655816.5328274,49856,1.0
1526656070.818866,51562,1.0
1526656325.6573994,53287,1.0
1526656579.9309108,55006,1.0
1526656833.5173028,56758,1.0
1526657087.4615126,60177,1.0
1526657341.3899333,61903,1.0
1526657596.6265328,63609,1.0
1526657853.2423692,65294,1.0
1526658106.7496781,66992,1.0
1526658360.575615,68723,1.0
1526658614.4205694,70450,1.0
1526658868.214714,72190,1.0
1526659122.5943146,73911,1.0
1526659376.5749762,75643,1.0
1526659629.964767,77384,1.0
1526659883.989776,79123,1.0
1526660137.9027271,80855,1.0
1526660391.884636,82570,1.0
1526660644.7497776,84298,1.0
1526660899.6137407,86021,1.0
1526661153.0298805,87749,1.0
1526661406.36892,91190,1.0
1526661661.5148985,92927,1.0
1526661915.4856365,94655,1.0
1526662169.3604822,96371,1.0
1526662415.1065748,98075,1.0
