Wall time,Step,Value
1526280684.9384575,0,2.0352505089249462e-05
1526281077.9616826,5781,1.0
1526281677.5748887,12502,1.0
1526282276.986754,19277,1.0
1526282874.2805583,26067,1.0
1526283479.9585786,32703,1.0
1526284080.0842977,39467,1.0
1526284679.780766,46302,1.0
1526285276.1892815,53170,1.0
1526285874.1327076,59982,1.0
1526286480.0299003,66781,1.0
1526287081.0531535,73556,1.0
1526287679.305756,80359,1.0
1526288278.1260123,87194,1.0
1526288875.870894,93901,1.0
1526289403.7122424,100000,1.0
