Wall time,Step,Value
1526280684.9386134,0,0.0016406930517405272
1526281077.9619184,5781,0.9553810954093933
1526281677.5751026,12502,1.0
1526282276.9868948,19277,1.0
1526282874.2806766,26067,0.999245822429657
1526283479.9587238,32703,1.0
1526284080.0844162,39467,1.0
1526284679.7810657,46302,1.0
1526285276.189437,53170,1.0
1526285874.13279,59982,1.0
1526286480.0300891,66781,1.0
1526287081.0543768,73556,1.0
1526287679.305951,80359,1.0
1526288278.1261864,87194,1.0
1526288875.8709846,93901,1.0
1526289403.712292,100000,1.0
