Wall time,Step,Value
1526280684.938736,0,0.0010842103511095047
1526281077.9621675,5781,1.0
1526281677.5753088,12502,1.0
1526282276.9870512,19277,1.0
1526282874.2807927,26067,1.0
1526283479.9588363,32703,1.0
1526284080.084535,39467,1.0
1526284679.7811983,46302,1.0
1526285276.1895823,53170,1.0
1526285874.1328683,59982,1.0
1526286480.030274,66781,1.0
1526287081.0549285,73556,1.0
1526287679.3061385,80359,1.0
1526288278.1263611,87194,1.0
1526288875.871068,93901,1.0
1526289403.7123394,100000,1.0
