Wall time,Step,Value
1526280684.9388807,0,0.0001295519177801907
1526281077.963098,5781,0.998106062412262
1526281677.5756643,12502,0.9990530014038086
1526282276.987181,19277,1.0
1526282874.2812626,26067,1.0
1526283479.958992,32703,1.0
1526284080.0846515,39467,1.0
1526284679.7813263,46302,1.0
1526285276.1897223,53170,1.0
1526285874.1329675,59982,1.0
1526286480.0304582,66781,1.0
1526287081.0561008,73556,1.0
1526287679.3063254,80359,1.0
1526288278.1265495,87194,1.0
1526288875.871148,93901,1.0
1526289403.7123864,100000,1.0
