Wall time,Step,Value
1526280684.9390113,0,0.0
1526281077.9633906,5781,0.9755099415779114
1526281677.5758488,12502,0.9993902444839478
1526282276.9875884,19277,0.9967391490936279
1526282874.281576,26067,1.0
1526283479.9591253,32703,1.0
1526284080.084991,39467,1.0
1526284679.7814512,46302,1.0
1526285276.1898592,53170,1.0
1526285874.1330945,59982,1.0
1526286480.0306554,66781,1.0
1526287081.0563283,73556,1.0
1526287679.3065102,80359,1.0
1526288278.1267362,87194,1.0
1526288875.8712325,93901,1.0
