Wall time,Step,Value
1526280684.9391315,0,4.0592651203041896e-05
1526281077.963641,5781,0.9898755550384521
1526281677.5772638,12502,0.9974358677864075
1526282276.9877396,19277,0.9985042810440063
1526282874.282004,26067,0.9989010691642761
1526283479.959533,32703,0.9989010691642761
1526284080.085108,39467,0.9997668862342834
1526284679.7818458,46302,1.0
1526285276.189974,53170,0.9997668862342834
1526285874.1331985,59982,0.9997668862342834
1526286480.0308406,66781,0.9995407462120056
1526287081.056503,73556,1.0
1526287679.3066952,80359,1.0
1526288278.1269212,87194,1.0
1526288875.8714066,93901,1.0
