Wall time,Step,Value
1526280684.9392467,0,0.0004859000910073519
1526281077.9638526,5781,0.9864787459373474
1526281677.5775363,12502,0.9993131756782532
1526282276.9878843,19277,0.9992072582244873
1526282874.282289,26067,0.9996911287307739
1526283479.9598076,32703,0.9998168349266052
1526284080.0852234,39467,0.9999611377716064
1526284679.7820847,46302,1.0
1526285276.1901631,53170,0.9999611377716064
1526285874.1335037,59982,0.9999611377716064
1526286480.0310373,66781,0.9999234676361084
1526287081.0567033,73556,1.0
1526287679.306878,80359,1.0
1526288278.1271002,87194,1.0
1526288875.8715644,93901,1.0
