Wall time,Step,Value
1526472003.608941,0,0.0
1526472809.1634881,1486,1.0
1526473196.8232446,2511,1.0
1526473796.078939,4090,1.0
1526474398.8709147,5667,1.0
1526474999.2749767,7245,1.0
1526475599.744039,8820,1.0
1526476202.1875434,10397,1.0
1526476800.9259555,11976,1.0
1526477410.6916661,13548,1.0
1526478012.6955767,15097,1.0
1526478602.017811,16664,1.0
1526479203.1646528,18243,1.0
1526479803.2745,19828,1.0
1526480402.9968736,21405,1.0
1526481008.6526442,22972,1.0
1526481605.3914087,24555,1.0
1526482204.9242187,26138,1.0
1526482805.523854,27723,1.0
1526483404.3808703,29307,1.0
1526484007.3662326,30892,1.0
1526484606.9947278,32472,1.0
1526485210.2403095,34049,1.0
1526485807.9707074,35627,1.0
1526486407.3252828,37204,1.0
1526487007.4927988,38783,1.0
1526487607.263633,40358,1.0
1526488207.6730022,41934,1.0
1526488806.0546505,43510,1.0
1526489406.6650286,45086,1.0
1526490008.073584,46661,1.0
1526490608.4813597,48236,1.0
1526491207.8567984,49814,1.0
1526491809.036801,51388,1.0
1526492407.6007328,52964,1.0
1526493009.90565,54538,1.0
1526493610.2178266,56109,1.0
1526494214.0165071,57684,1.0
1526494814.768626,59258,1.0
1526495416.906387,60831,1.0
1526496016.8568313,62402,1.0
1526496616.3035371,63975,1.0
1526497218.7217498,65551,1.0
1526497816.9634936,67123,1.0
1526498416.2476296,68699,1.0
1526499019.353602,70273,1.0
1526499616.5584178,71846,1.0
1526500216.016104,73421,1.0
1526500813.382663,74994,1.0
1526501416.3263729,76567,1.0
1526501953.021203,78145,1.0
1526502552.0047495,79720,1.0
1526503152.338751,81293,1.0
1526503753.0117261,82865,1.0
1526504358.174895,84437,1.0
1526504956.0086746,86012,1.0
1526505554.5215566,87586,1.0
1526506154.565332,89161,1.0
1526506755.3960059,90732,1.0
1526507355.562991,92307,1.0
1526507955.767483,93885,1.0
1526508560.192092,95460,1.0
1526509161.6329956,97037,1.0
1526509757.7224317,98611,1.0
