Wall time,Step,Value
1526472003.6091554,0,0.00024140081950463355
1526472809.1636145,1486,0.967369794845581
1526473196.8235443,2511,0.9895253777503967
1526473796.0791123,4090,0.9967114329338074
1526474398.8820312,5667,1.0
1526474999.275075,7245,0.9992600679397583
1526475599.7441092,8820,1.0
1526476202.18775,10397,0.9996229410171509
1526476800.9546275,11976,1.0
1526477410.6917884,13548,1.0
1526478012.6957095,15097,0.998910665512085
1526478602.017937,16664,1.0
1526479203.164899,18243,1.0
1526479803.2746122,19828,1.0
1526480402.997,21405,1.0
1526481008.6527753,22972,1.0
1526481605.3915434,24555,1.0
1526482204.9243374,26138,1.0
1526482805.5239413,27723,1.0
1526483404.3810062,29307,1.0
1526484007.366353,30892,1.0
1526484607.0092587,32472,1.0
1526485210.240436,34049,1.0
1526485807.9708705,35627,1.0
1526486407.3254004,37204,1.0
1526487007.492954,38783,1.0
1526487607.263766,40358,1.0
1526488207.6732318,41934,1.0
1526488806.0548244,43510,1.0
1526489406.665186,45086,1.0
1526490008.0736845,46661,1.0
1526490608.481581,48236,1.0
1526491207.8569689,49814,1.0
1526491809.0369859,51388,1.0
1526492407.6007977,52964,1.0
1526493009.905723,54538,1.0
1526493610.2180989,56109,1.0
1526494214.016765,57684,1.0
1526494814.7692885,59258,1.0
1526495416.9065092,60831,1.0
1526496016.8569524,62402,1.0
1526496616.3036597,63975,1.0
1526497218.7218509,65551,1.0
1526497816.9636376,67123,1.0
1526498416.24772,68699,1.0
1526499019.3538458,70273,1.0
1526499616.5585833,71846,1.0
1526500216.0162382,73421,1.0
1526500813.3827486,74994,1.0
1526501416.3265085,76567,1.0
1526501953.021307,78145,1.0
1526502552.004929,79720,1.0
1526503152.338997,81293,1.0
1526503753.011902,82865,1.0
1526504358.1750722,84437,1.0
1526504956.0135908,86012,1.0
1526505554.5217366,87586,1.0
1526506154.5654624,89161,1.0
1526506755.3961236,90732,1.0
1526507355.5631304,92307,1.0
1526507955.7677636,93885,1.0
1526508560.1923218,95460,1.0
1526509161.633195,97037,1.0
1526509757.7225847,98611,1.0
