Wall time,Step,Value
1526472003.609355,0,1.3078431038593408e-05
1526472809.163738,1486,0.9931519627571106
1526473196.8236163,2511,0.9993069767951965
1526473796.0792947,4090,0.999473512172699
1526474398.8822732,5667,0.9989864826202393
1526474999.275168,7245,1.0
1526475599.7441761,8820,1.0
1526476202.1879137,10397,1.0
1526476800.9547997,11976,1.0
1526477410.6918993,13548,1.0
1526478012.6958034,15097,1.0
1526478602.01805,16664,1.0
1526479203.1650145,18243,1.0
1526479803.2747092,19828,1.0
1526480402.997111,21405,1.0
1526481008.6528885,22972,1.0
1526481605.3916664,24555,1.0
1526482204.924446,26138,1.0
1526482805.52401,27723,1.0
1526483404.3811202,29307,1.0
1526484007.3664634,30892,1.0
1526484607.0094824,32472,1.0
1526485210.2405515,34049,1.0
1526485807.9710195,35627,1.0
1526486407.3255882,37204,1.0
1526487007.493065,38783,1.0
1526487607.2638867,40358,1.0
1526488207.6733859,41934,1.0
1526488806.0549793,43510,1.0
1526489406.6653473,45086,1.0
1526490008.073753,46661,1.0
1526490608.4817796,48236,1.0
1526491207.8571236,49814,1.0
1526491809.03716,51388,1.0
1526492407.6008563,52964,1.0
1526493009.905799,54538,1.0
1526493610.2182422,56109,1.0
1526494214.0169759,57684,1.0
1526494814.7694354,59258,1.0
1526495416.9066079,60831,1.0
1526496016.8570852,62402,1.0
1526496616.3037703,63975,1.0
1526497218.7299218,65551,1.0
1526497816.9637551,67123,1.0
1526498416.2478018,68699,1.0
1526499019.353967,70273,1.0
1526499616.5587118,71846,1.0
1526500216.0163524,73421,1.0
1526500813.382822,74994,1.0
1526501416.3266225,76567,1.0
1526501953.021393,78145,1.0
1526502552.0050983,79720,1.0
1526503152.339194,81293,1.0
1526503753.0120738,82865,1.0
1526504358.1751995,84437,1.0
1526504956.0137434,86012,1.0
1526505554.5219095,87586,1.0
1526506154.5655606,89161,1.0
1526506755.396234,90732,1.0
1526507355.5632472,92307,1.0
1526507955.7678616,93885,1.0
1526508560.1924605,95460,1.0
1526509161.6333263,97037,1.0
1526509757.7227185,98611,1.0
