Wall time,Step,Value
1526472003.6095672,0,1.4481001016974915e-05
1526472809.1638508,1486,0.9690701365470886
1526473196.8236816,2511,1.0
1526473796.0794632,4090,0.998106062412262
1526474398.8825412,5667,1.0
1526474999.275257,7245,1.0
1526475599.744367,8820,1.0
1526476202.1880622,10397,1.0
1526476800.9549055,11976,1.0
1526477410.692084,13548,1.0
1526478012.6958745,15097,1.0
1526478602.018159,16664,1.0
1526479203.1651208,18243,1.0
1526479803.2747982,19828,1.0
1526480402.997218,21405,1.0
1526481008.652997,22972,1.0
1526481605.3917851,24555,1.0
1526482204.9245527,26138,1.0
1526482805.5240748,27723,1.0
1526483404.3812253,29307,1.0
1526484007.3665712,30892,1.0
1526484607.009623,32472,1.0
1526485210.240627,34049,1.0
1526485807.9711342,35627,1.0
1526486407.325665,37204,1.0
1526487007.4933805,38783,1.0
1526487607.264063,40358,1.0
1526488207.6739209,41934,1.0
1526488806.0550883,43510,1.0
1526489406.6655018,45086,1.0
1526490008.0738168,46661,1.0
1526490608.48197,48236,1.0
1526491207.8572657,49814,1.0
1526491809.0373313,51388,1.0
1526492407.6009114,52964,1.0
1526493009.9058757,54538,1.0
1526493610.2183661,56109,1.0
1526494214.017177,57684,1.0
1526494814.7695827,59258,1.0
1526495416.906701,60831,1.0
1526496016.8572161,62402,1.0
1526496616.303876,63975,1.0
1526497218.7302804,65551,1.0
1526497816.963866,67123,1.0
1526498416.2478628,68699,1.0
1526499019.354077,70273,1.0
1526499616.558834,71846,1.0
1526500216.0164602,73421,1.0
1526500813.3828926,74994,1.0
1526501416.3267307,76567,1.0
1526501953.0214741,78145,1.0
1526502552.005266,79720,1.0
1526503152.3393807,81293,1.0
1526503753.012242,82865,1.0
1526504358.175323,84437,1.0
1526504956.0138762,86012,1.0
1526505554.5220783,87586,1.0
1526506154.5656517,89161,1.0
1526506755.3963416,90732,1.0
1526507355.5633585,92307,1.0
1526507955.7679508,93885,1.0
1526508560.192591,95460,1.0
1526509161.6334472,97037,1.0
1526509757.7228475,98611,1.0
