Wall time,Step,Value
1526472003.6097624,0,6.15897006355226e-05
1526472809.163918,1486,0.9645634293556213
1526473196.823745,2511,0.9969345331192017
1526473796.0796306,4090,1.0
1526474398.8828313,5667,0.9988095164299011
1526474999.275455,7245,1.0
1526475599.744467,8820,1.0
1526476202.1883967,10397,1.0
1526476800.955068,11976,1.0
1526477410.6921914,13548,1.0
1526478012.6960788,15097,1.0
1526478602.0182652,16664,1.0
1526479203.1652253,18243,1.0
1526479803.274883,19828,1.0
1526480402.9973223,21405,1.0
1526481008.6531372,22972,1.0
1526481605.391906,24555,1.0
1526482204.9246554,26138,1.0
1526482805.5242486,27723,1.0
1526483404.381328,29307,1.0
1526484007.3666775,30892,1.0
1526484607.0097523,32472,1.0
1526485210.2407832,34049,1.0
1526485807.9712331,35627,1.0
1526486407.3257875,37204,1.0
1526487007.493565,38783,1.0
1526487607.2641885,40358,1.0
1526488207.6741395,41934,1.0
1526488806.0551956,43510,1.0
1526489406.6656291,45086,1.0
1526490008.0738783,46661,1.0
1526490608.4821556,48236,1.0
1526491207.8573623,49814,1.0
1526491809.0375016,51388,1.0
1526492407.6009643,52964,1.0
1526493009.906116,54538,1.0
1526493610.2184849,56109,1.0
1526494214.0173934,57684,1.0
1526494814.7697,59258,1.0
1526495416.9068224,60831,1.0
1526496016.8573277,62402,1.0
1526496616.3039804,63975,1.0
1526497218.7304358,65551,1.0
1526497816.9640367,67123,1.0
1526498416.2479298,68699,1.0
1526499019.3541849,70273,1.0
1526499616.558955,71846,1.0
1526500216.016566,73421,1.0
1526500813.3829627,74994,1.0
1526501416.3268387,76567,1.0
1526501953.021558,78145,1.0
1526502552.0054314,79720,1.0
1526503152.3395727,81293,1.0
1526503753.0124085,82865,1.0
1526504358.1754422,84437,1.0
1526504956.0140054,86012,1.0
1526505554.5222464,87586,1.0
1526506154.5657988,89161,1.0
1526506755.3964472,90732,1.0
1526507355.563461,92307,1.0
1526507955.7680392,93885,1.0
1526508560.192749,95460,1.0
1526509161.6335242,97037,1.0
1526509757.7229745,98611,1.0
