Wall time,Step,Value
1526472003.6099508,0,2.8442623261071276e-06
1526472809.1640363,1486,1.0
1526473196.8243392,2511,1.0
1526473796.0797966,4090,1.0
1526474398.8829675,5667,1.0
1526474999.275543,7245,1.0
1526475599.7445676,8820,1.0
1526476202.1884725,10397,1.0
1526476800.9551613,11976,1.0
1526477410.6922967,13548,1.0
1526478012.6962054,15097,1.0
1526478602.0183723,16664,1.0
1526479203.1653273,18243,1.0
1526479803.2749658,19828,1.0
1526480402.9974263,21405,1.0
1526481008.6532457,22972,1.0
1526481605.3920279,24555,1.0
1526482204.9247594,26138,1.0
1526482805.524317,27723,1.0
1526483404.3814285,29307,1.0
1526484007.3667817,30892,1.0
1526484607.0098605,32472,1.0
1526485210.2409525,34049,1.0
1526485807.9713266,35627,1.0
1526486407.3258815,37204,1.0
1526487007.4936898,38783,1.0
1526487607.2643065,40358,1.0
1526488207.6743326,41934,1.0
1526488806.055296,43510,1.0
1526489406.6657841,45086,1.0
1526490008.0739384,46661,1.0
1526490608.482341,48236,1.0
1526491207.8574514,49814,1.0
1526491809.0376902,51388,1.0
1526492407.6010168,52964,1.0
1526493009.9062247,54538,1.0
1526493610.2185924,56109,1.0
1526494214.0176334,57684,1.0
1526494814.7698336,59258,1.0
1526495416.9069812,60831,1.0
1526496016.8574407,62402,1.0
1526496616.3040826,63975,1.0
1526497218.7305613,65551,1.0
1526497816.9642096,67123,1.0
1526498416.2480025,68699,1.0
1526499019.3542898,70273,1.0
1526499616.5590723,71846,1.0
1526500216.0166698,73421,1.0
1526500813.3830447,74994,1.0
1526501416.3269434,76567,1.0
1526501953.0216331,78145,1.0
1526502552.005604,79720,1.0
1526503152.3397672,81293,1.0
1526503753.0125742,82865,1.0
1526504358.1755605,84437,1.0
1526504956.014134,86012,1.0
1526505554.5224133,87586,1.0
1526506154.5659008,89161,1.0
1526506755.3965523,90732,1.0
1526507355.5635717,92307,1.0
1526507955.768121,93885,1.0
1526508560.1928852,95460,1.0
1526509161.6336534,97037,1.0
1526509757.7231011,98611,1.0
