Wall time,Step,Value
1526472003.6115608,0,5.556570249609649e-05
1526472809.1648934,1486,0.9823592305183411
1526473196.8244557,2511,0.9976277947425842
1526473796.0801516,4090,0.9990484714508057
1526474398.88373,5667,0.9996326565742493
1526474999.2756288,7245,0.9998766779899597
1526475599.744666,8820,1.0
1526476202.188531,10397,0.9999371767044067
1526476800.9552536,11976,1.0
1526477410.6924007,13548,1.0
1526478012.6963308,15097,0.9998184442520142
1526478602.0186026,16664,1.0
1526479203.1654286,18243,1.0
1526479803.2750483,19828,1.0
1526480402.997529,21405,1.0
1526481008.6533506,22972,1.0
1526481605.3921444,24555,1.0
1526482204.9248812,26138,1.0
1526482805.5244741,27723,1.0
1526483404.3815289,29307,1.0
1526484007.3668861,30892,1.0
1526484607.009965,32472,1.0
1526485210.2411048,34049,1.0
1526485807.9714215,35627,1.0
1526486407.3259954,37204,1.0
1526487007.4938178,38783,1.0
1526487607.264434,40358,1.0
1526488207.6744797,41934,1.0
1526488806.0553937,43510,1.0
1526489406.665895,45086,1.0
1526490008.0739987,46661,1.0
1526490608.482515,48236,1.0
1526491207.8575346,49814,1.0
1526491809.0378575,51388,1.0
1526492407.6010706,52964,1.0
1526493009.9063187,54538,1.0
1526493610.2186959,56109,1.0
1526494214.0178351,57684,1.0
1526494814.7699664,59258,1.0
1526495416.9071088,60831,1.0
1526496016.857535,62402,1.0
1526496616.3041847,63975,1.0
1526497218.730673,65551,1.0
1526497816.9643805,67123,1.0
1526498416.248166,68699,1.0
1526499019.354394,70273,1.0
1526499616.5592167,71846,1.0
1526500216.0167725,73421,1.0
1526500813.3832388,74994,1.0
1526501416.3270464,76567,1.0
1526501953.021707,78145,1.0
1526502552.0057771,79720,1.0
1526503152.3399537,81293,1.0
1526503753.0127392,82865,1.0
1526504358.1756787,84437,1.0
1526504956.0142617,86012,1.0
1526505554.5225792,87586,1.0
1526506154.565994,89161,1.0
1526506755.396657,90732,1.0
1526507355.5636742,92307,1.0
1526507955.768201,93885,1.0
1526508560.193018,95460,1.0
1526509161.6337595,97037,1.0
1526509757.723227,98611,1.0
