Wall time,Step,Value
1526454898.4600046,1156,1.0
1526455076.5226295,2323,1.0
1526455195.9976742,3487,1.0
1526455316.0160515,4619,1.0
1526455374.99305,5776,1.0
1526455496.5954008,6935,1.0
1526455556.5306714,8104,1.0
1526455736.3547893,9274,1.0
1526455796.4115894,10439,1.0
1526456036.68505,11463,1.0
1526456096.903181,12537,1.0
1526456156.9072003,13709,1.0
1526456220.4966664,16047,1.0
1526456337.0086255,17219,1.0
1526456397.008233,18391,1.0
1526456456.9802082,19562,1.0
1526462690.9112294,20734,1.0
1526462749.830003,21904,1.0
1526462809.8506553,24205,1.0
1526462869.8354013,25377,1.0
1526462929.9916058,26552,1.0
1526462989.9972193,27728,1.0
1526463049.9498215,28906,1.0
1526463109.9452372,30085,1.0
1526463170.0245612,31259,1.0
1526463230.1914515,32431,1.0
1526463290.2776155,33603,1.0
1526463350.0952294,34776,1.0
1526464971.7785976,35948,1.0
1526465031.7873023,37119,1.0
1526465091.7778637,38291,1.0
1526465151.8190036,39462,1.0
1526465211.7716541,40633,1.0
1526465272.011669,41804,1.0
1526465331.8803504,42975,1.0
1526465391.9303315,44148,1.0
1526465452.048437,45318,1.0
1526465512.2043173,46490,1.0
1526465571.9543905,47662,1.0
1526465631.9561634,48831,1.0
1526465752.2432175,50003,1.0
1526465812.2041652,51173,1.0
1526465932.379664,52343,1.0
1526465992.3062818,53514,1.0
1526466112.3296156,54685,1.0
1526466172.4017067,55855,1.0
1526466232.3419101,57027,1.0
1526466352.6528919,58197,1.0
1526466412.6298947,59367,1.0
1526466472.7193022,60536,1.0
1526466532.628659,61708,1.0
1526466592.734609,62876,1.0
1526466653.3068678,67555,1.0
1526466712.7625644,64046,1.0
1526466772.8522007,65215,1.0
1526466892.9623451,66384,1.0
1526466952.7922597,67555,1.0
1526467013.1238694,68723,1.0
1526467073.1178944,69893,1.0
1526467193.2031581,72233,1.0
1526467313.361544,73400,1.0
1526467373.3549438,74571,1.0
1526467493.3581476,75742,1.0
1526467613.4966826,76913,1.0
1526467733.6340978,78083,1.0
1526467851.132246,79255,1.0
1526467913.6025515,80426,1.0
1526467973.7055967,81599,1.0
1526468034.0144129,82770,1.0
1526468093.860276,83939,1.0
1526468153.8615277,85110,1.0
1526468213.9403749,86281,1.0
1526468274.023069,87451,1.0
1526468334.1036835,88622,1.0
1526468394.132757,89793,1.0
1526470495.95746,90965,1.0
1526470555.820127,93304,1.0
1526470615.8393924,94476,1.0
1526470796.4625244,95647,1.0
1526470856.8557355,96818,1.0
1526470915.9515824,97988,1.0
1526470976.2011755,99161,1.0
1526471036.06969,100000,1.0
