Wall time,Step,Value
1526454898.4601676,1156,0.9876956343650818
1526455076.522998,2323,0.9868449568748474
1526455195.9977417,3487,0.998875617980957
1526455316.0161045,4619,1.0
1526455374.9931073,5776,1.0
1526455496.5954597,6935,1.0
1526455556.5307689,8104,1.0
1526455736.355009,9274,0.9996229410171509
1526455796.4116893,10439,0.9996229410171509
1526456036.685104,11463,0.9996229410171509
1526456096.903234,12537,0.9996229410171509
1526456156.9072587,13709,1.0
1526456220.4969442,16047,1.0
1526456337.0086937,17219,1.0
1526456397.0082908,18391,1.0
1526456456.9802802,19562,1.0
1526462690.9112842,20734,1.0
1526462749.830066,21904,1.0
1526462809.8507571,24205,1.0
1526462869.8354537,25377,1.0
1526462929.9916556,26552,1.0
1526462989.9973633,27728,1.0
1526463049.9498746,28906,1.0
1526463109.9452894,30085,1.0
1526463170.0246127,31259,1.0
1526463230.1916137,32431,1.0
1526463290.277781,33603,1.0
1526463350.0952818,34776,1.0
1526464971.7786937,35948,1.0
1526465031.787358,37119,1.0
1526465091.7779164,38291,1.0
1526465151.8190653,39462,1.0
1526465211.7717133,40633,1.0
1526465272.0118928,41804,1.0
1526465331.880405,42975,1.0
1526465391.9304385,44148,1.0
1526465452.0488238,45318,1.0
1526465512.204381,46490,1.0
1526465571.9544442,47662,1.0
1526465631.9562166,48831,1.0
1526465752.2432928,50003,1.0
1526465812.2042553,51173,1.0
1526465932.3797212,52343,1.0
1526465992.3063855,53514,1.0
1526466112.3296704,54685,1.0
1526466172.4017594,55855,1.0
1526466232.3419683,57027,1.0
1526466352.6529984,58197,1.0
1526466412.630002,59367,1.0
1526466472.7193615,60536,1.0
1526466532.62872,61708,1.0
1526466592.7346811,62876,1.0
1526466653.3069298,67555,1.0
1526466712.7626188,64046,1.0
1526466772.8522663,65215,1.0
1526466892.9623985,66384,1.0
1526466952.792318,67555,1.0
1526467013.1239245,68723,1.0
1526467073.1181808,69893,1.0
1526467193.203215,72233,1.0
1526467313.3616097,73400,1.0
1526467373.355008,74571,1.0
1526467493.3582015,75742,1.0
1526467613.4968028,76913,1.0
1526467733.6343267,78083,1.0
1526467851.1323068,79255,1.0
1526467913.6026053,80426,1.0
1526467973.7056599,81599,1.0
1526468034.0145154,82770,1.0
1526468093.8603299,83939,1.0
1526468153.8616655,85110,1.0
1526468213.9404848,86281,1.0
1526468274.0231276,87451,1.0
1526468334.1037436,88622,1.0
1526468394.1328108,89793,1.0
1526470495.9575295,90965,1.0
1526470555.820252,93304,1.0
1526470615.8394537,94476,1.0
1526470796.4628482,95647,1.0
1526470856.8558109,96818,1.0
1526470915.951641,97988,1.0
1526470976.2013433,99161,1.0
1526471036.0697446,100000,1.0
