Wall time,Step,Value
1526454898.4603286,1156,0.9638566970825195
1526455076.523074,2323,0.9888893365859985
1526455195.9978025,3487,0.9965881109237671
1526455316.0163054,4619,0.9972809553146362
1526455374.9937649,5776,0.9982679486274719
1526455496.5955155,6935,0.998918890953064
1526455556.5308604,8104,0.991868257522583
1526455736.3550985,9274,1.0
1526455796.4118047,10439,0.999819815158844
1526456036.6851554,11463,0.999819815158844
1526456096.9032824,12537,1.0
1526456156.9073153,13709,1.0
1526456220.4979212,16047,1.0
1526456337.0087512,17219,1.0
1526456397.0083432,18391,1.0
1526456456.9805055,19562,1.0
1526462690.9113348,20734,1.0
1526462749.8301256,21904,1.0
1526462809.850853,24205,1.0
1526462869.835502,25377,1.0
1526462929.9917026,26552,1.0
1526462989.9974148,27728,1.0
1526463049.9499536,28906,1.0
1526463109.945338,30085,1.0
1526463170.0247693,31259,1.0
1526463230.1917632,32431,1.0
1526463290.2778554,33603,1.0
1526463350.095331,34776,1.0
1526464971.7787867,35948,1.0
1526465031.7874079,37119,1.0
1526465091.777965,38291,1.0
1526465151.8191247,39462,1.0
1526465211.771764,40633,1.0
1526465272.0119925,41804,1.0
1526465331.8804522,42975,1.0
1526465391.9305353,44148,1.0
1526465452.0489144,45318,1.0
1526465512.2044373,46490,1.0
1526465571.9544928,47662,1.0
1526465631.9562664,48831,1.0
1526465752.2433627,50003,1.0
1526465812.2043111,51173,1.0
1526465932.3797755,52343,1.0
1526465992.3064823,53514,1.0
1526466112.3298237,54685,1.0
1526466172.4018085,55855,1.0
1526466232.342023,57027,1.0
1526466352.6530943,58197,1.0
1526466412.630098,59367,1.0
1526466472.7194128,60536,1.0
1526466532.628771,61708,1.0
1526466592.7347472,62876,1.0
1526466653.3069882,67555,1.0
1526466712.7626681,64046,1.0
1526466772.852328,65215,1.0
1526466892.9624472,66384,1.0
1526466952.792369,67555,1.0
1526467013.123974,68723,1.0
1526467073.118284,69893,1.0
1526467193.2032652,72233,1.0
1526467313.3616657,73400,1.0
1526467373.355068,74571,1.0
1526467493.3582516,75742,1.0
1526467613.4969003,76913,1.0
1526467733.6343784,78083,1.0
1526467851.1323586,79255,1.0
1526467913.6026547,80426,1.0
1526467973.7057195,81599,1.0
1526468034.0146117,82770,1.0
1526468093.8603787,83939,1.0
1526468153.8617618,85110,1.0
1526468213.9405367,86281,1.0
1526468274.023178,87451,1.0
1526468334.1037939,88622,1.0
1526468394.1328604,89793,1.0
1526470495.9575984,90965,1.0
1526470555.8203576,93304,1.0
1526470615.83951,94476,1.0
1526470796.462948,95647,1.0
1526470856.856133,96818,1.0
1526470915.9516923,97988,1.0
1526470976.2014093,99161,1.0
