Wall time,Step,Value
1526454898.4604971,1156,0.8996117115020752
1526455076.5231423,2323,0.9571869969367981
1526455195.9978619,3487,1.0
1526455316.0163565,4619,1.0
1526455374.9938242,5776,0.9857954382896423
1526455496.59557,6935,1.0
1526455556.5309508,8104,1.0
1526455736.3551774,9274,1.0
1526455796.4118602,10439,1.0
1526456036.6853108,11463,1.0
1526456096.9033296,12537,1.0
1526456156.907414,13709,1.0
1526456220.4979773,16047,1.0
1526456337.0088072,17219,1.0
1526456397.008393,18391,1.0
1526456456.9805849,19562,1.0
1526462690.9113803,20734,1.0
1526462749.8301811,21904,1.0
1526462809.8511152,24205,1.0
1526462869.8355489,25377,1.0
1526462929.9917476,26552,1.0
1526462989.9975235,27728,1.0
1526463049.9501033,28906,1.0
1526463109.9453855,30085,1.0
1526463170.02482,31259,1.0
1526463230.191976,32431,1.0
1526463290.2779107,33603,1.0
1526463350.0954528,34776,1.0
1526464971.7788773,35948,1.0
1526465031.787456,37119,1.0
1526465091.778013,38291,1.0
1526465151.8191793,39462,1.0
1526465211.7718124,40633,1.0
1526465272.0120862,41804,1.0
1526465331.880499,42975,1.0
1526465391.930628,44148,1.0
1526465452.0489948,45318,1.0
1526465512.2044897,46490,1.0
1526465571.9545398,47662,1.0
1526465631.9563138,48831,1.0
1526465752.2434137,50003,1.0
1526465812.2043617,51173,1.0
1526465932.379828,52343,1.0
1526465992.306576,53514,1.0
1526466112.329914,54685,1.0
1526466172.4018564,55855,1.0
1526466232.3420749,57027,1.0
1526466352.6531863,58197,1.0
1526466412.63019,59367,1.0
1526466472.7194605,60536,1.0
1526466532.6288197,61708,1.0
1526466592.7348099,62876,1.0
1526466653.3070452,67555,1.0
1526466712.762715,64046,1.0
1526466772.8523839,65215,1.0
1526466892.9624934,66384,1.0
1526466952.7924159,67555,1.0
1526467013.1240249,68723,1.0
1526467073.1183808,69893,1.0
1526467193.2033126,72233,1.0
1526467313.361719,73400,1.0
1526467373.3551264,74571,1.0
1526467493.358447,75742,1.0
1526467613.4969928,76913,1.0
1526467733.6344266,78083,1.0
1526467851.1324062,79255,1.0
1526467913.602702,80426,1.0
1526467973.7057755,81599,1.0
1526468034.014703,82770,1.0
1526468093.8604255,83939,1.0
1526468153.8618531,85110,1.0
1526468213.9405847,86281,1.0
1526468274.0232258,87451,1.0
1526468334.1038437,88622,1.0
1526468394.133021,89793,1.0
1526470495.9576526,90965,1.0
1526470555.8204103,93304,1.0
1526470615.8395607,94476,1.0
1526470796.463044,95647,1.0
1526470856.8562608,96818,1.0
1526470915.9517395,97988,1.0
1526470976.2014709,99161,1.0
