Wall time,Step,Value
1526454898.4611075,1156,0.9997668862342834
1526455076.5242283,2323,1.0
1526455195.9984205,3487,1.0
1526455316.0164928,4619,1.0
1526455374.9939294,5776,1.0
1526455496.5957909,6935,1.0
1526455556.5313427,8104,1.0
1526455736.355461,9274,1.0
1526455796.412225,10439,1.0
1526456036.6855962,11463,1.0
1526456096.9035912,12537,1.0
1526456156.9078984,13709,1.0
1526456220.4980745,16047,1.0
1526456337.0089128,17219,1.0
1526456397.0086596,18391,1.0
1526456456.980811,19562,1.0
1526462690.911946,20734,1.0
1526462749.8307343,21904,1.0
1526462809.8513844,24205,1.0
1526462869.8361936,25377,1.0
1526462929.9920456,26552,1.0
1526462989.997945,27728,1.0
1526463049.9501972,28906,1.0
1526463109.946207,30085,1.0
1526463170.0250094,31259,1.0
1526463230.19226,32431,1.0
1526463290.278296,33603,1.0
1526463350.0956802,34776,1.0
1526464971.7795544,35948,1.0
1526465031.7877214,37119,1.0
1526465091.778282,38291,1.0
1526465151.8192859,39462,1.0
1526465211.7719066,40633,1.0
1526465272.0122638,41804,1.0
1526465331.8805885,42975,1.0
1526465391.9308047,44148,1.0
1526465452.049144,45318,1.0
1526465512.204593,46490,1.0
1526465571.9546309,47662,1.0
1526465631.956619,48831,1.0
1526465752.243509,50003,1.0
1526465812.204457,51173,1.0
1526465932.3799307,52343,1.0
1526465992.3067539,53514,1.0
1526466112.3300729,54685,1.0
1526466172.4019487,55855,1.0
1526466232.3423626,57027,1.0
1526466352.6533604,58197,1.0
1526466412.6303651,59367,1.0
1526466472.719553,60536,1.0
1526466532.6289175,61708,1.0
1526466592.7349248,62876,1.0
1526466653.307154,67555,1.0
1526466712.7628074,64046,1.0
1526466772.8524938,65215,1.0
1526466892.9625833,66384,1.0
1526466952.7925072,67555,1.0
1526467013.1241262,68723,1.0
1526467073.118561,69893,1.0
1526467193.2034018,72233,1.0
1526467313.361822,73400,1.0
1526467373.3552363,74571,1.0
1526467493.358678,75742,1.0
1526467613.4971695,76913,1.0
1526467733.6345184,78083,1.0
1526467851.132497,79255,1.0
1526467913.6027935,80426,1.0
1526467973.7058802,81599,1.0
1526468034.0148761,82770,1.0
1526468093.8605165,83939,1.0
1526468153.8620286,85110,1.0
1526468213.9407747,86281,1.0
1526468274.0233295,87451,1.0
1526468334.1039362,88622,1.0
1526468394.1331196,89793,1.0
1526470495.9577572,90965,1.0
1526470555.8205686,93304,1.0
1526470615.8396788,94476,1.0
1526470796.4632218,95647,1.0
1526470856.8564327,96818,1.0
1526470915.9518306,97988,1.0
1526470976.2016,99161,1.0
