Wall time,Step,Value
1523353865.1001694,0,0.025231296196579933
1523354336.2690954,5279,0.018158067017793655
1523354959.8728707,11153,0.013389185070991516
1523355537.4640203,17088,0.011727094650268555
1523356134.4994702,23091,0.01083287876099348
1523356734.0738285,29153,0.010425109416246414
1523357334.6482158,35205,0.009476198814809322
1523357933.3086736,41239,0.009878781624138355
1523358533.8054726,47281,0.008637220598757267
1523359136.5276115,53174,0.008642648346722126
1523359735.8923793,59116,0.008572181686758995
1523360333.7460515,65045,0.00870323646813631
1523360935.9723384,71093,0.008071670308709145
1523361536.242595,77066,0.008366866037249565
1523362148.8089952,82887,0.0079313600435853
1523362735.2866585,88704,0.00796680897474289
1523363337.6636124,94752,0.007957570254802704
