Wall time,Step,Value
1523353865.1007867,0,0.009308718144893646
1523354336.2886283,5279,0.9996212124824524
1523354959.8730705,11153,1.0
1523355537.4649894,17088,0.9999237060546875
1523356134.4997146,23091,0.9999237060546875
1523356734.0740612,29153,0.9999237060546875
1523357334.6484141,35205,0.9999237060546875
1523357933.3089447,41239,0.9999237060546875
1523358533.8057084,47281,1.0
1523359136.527937,53174,1.0
1523359735.8926136,59116,1.0
1523360333.7477484,65045,0.9999237060546875
1523360935.9727342,71093,0.9999237060546875
1523361536.2432876,77066,1.0
1523362148.838798,82887,1.0
1523362735.2868755,88704,1.0
1523363337.6637359,94752,1.0
