Wall time,Step,Value
1523353865.1011283,0,1.8202999854111113e-05
1523354336.2890847,5279,0.9987410306930542
1523354959.8734756,11153,0.9996340870857239
1523355537.465734,17088,0.9996927976608276
1523356134.5000126,23091,1.0
1523356734.0744703,29153,1.0
1523357334.648699,35205,1.0
1523357933.309323,41239,1.0
1523358533.8064342,47281,1.0
1523359136.52823,53174,1.0
1523359735.8930988,59116,1.0
1523360333.7479963,65045,1.0
1523360935.9730291,71093,1.0
1523361536.2435625,77066,1.0
1523362148.839632,82887,0.9999375343322754
1523362735.2871215,88704,1.0
1523363337.6640513,94752,1.0
