Wall time,Step,Value
1523353865.1263764,0,1.5856909385547624e-07
1523354336.2891977,5279,1.0
1523354959.873983,11153,1.0
1523355537.4659023,17088,1.0
1523356134.500392,23091,1.0
1523356734.0745943,29153,1.0
1523357334.648992,35205,1.0
1523357933.309416,41239,1.0
1523358533.8065302,47281,1.0
1523359136.528311,53174,1.0
1523359735.8931932,59116,1.0
1523360333.7480707,65045,1.0
1523360935.973112,71093,1.0
1523361536.2436213,77066,1.0
1523362148.8397682,82887,1.0
1523362735.2871997,88704,1.0
1523363337.6641645,94752,1.0
