Wall time,Step,Value
1523369621.4351213,0,2.9930126667022705
1523370216.2035723,1408,0.23043765127658844
1523370816.4025753,2863,0.20881326496601105
1523371417.0603619,4315,0.10142471641302109
1523372016.6411602,5766,0.10842123627662659
1523372617.2383223,7216,0.07244466245174408
1523373217.0127985,8665,0.06754569709300995
1523373817.423793,10115,0.06821134686470032
1523374417.1350727,11566,0.06535758823156357
1523375017.310229,13018,0.066855788230896
1523375617.3334486,14469,0.06673867255449295
1523376218.0623775,15920,0.052129629999399185
1523376817.9297347,17372,0.04532282426953316
1523377418.1372678,18825,0.05183899775147438
1523378018.2874606,20278,0.04401708021759987
1523378618.4258153,21729,0.05361797660589218
1523379218.5150423,23182,0.058403365314006805
1523379818.8223917,24634,0.04744381830096245
1523380419.4168983,26088,0.04342951253056526
1523381018.7394605,27541,0.04408997297286987
1523381618.6949344,28995,0.05023111030459404
1523382219.5282755,30449,0.042067915201187134
1523382819.4008574,31904,0.04412787780165672
1523383418.9893959,33359,0.03565172478556633
1523384019.8892589,34819,0.041555847972631454
1523384620.1656754,36280,0.03742978349328041
1523385220.1580324,37742,0.03513459116220474
1523385819.578908,39203,0.034698933362960815
1523386420.0391254,40663,0.034022871404886246
1523387020.4829154,42120,0.04341092333197594
1523387620.1478975,43580,0.03399425745010376
1523388220.5697088,45039,0.031866542994976044
1523388820.4753938,46496,0.03351510688662529
1523389420.7397401,47953,0.04211510717868805
1523390020.6835,49411,0.050897546112537384
1523390620.6770954,50870,0.036935992538928986
1523391221.2897573,52330,0.03309846296906471
1523391820.9443858,53791,0.03501201793551445
1523392421.2303195,55255,0.032932303845882416
1523393021.1595366,56718,0.03302063047885895
1523393621.69636,58180,0.03010769933462143
1523394221.4341834,59642,0.030861368402838707
1523394821.6119587,61102,0.034010522067546844
1523395421.8804069,62558,0.03298058360815048
1523396022.2123482,64010,0.031218145042657852
1523396622.113955,65466,0.02826194278895855
1523397222.3246193,66924,0.026846345514059067
1523397822.2378924,68382,0.02819356508553028
1523398422.3775616,69840,0.03511982411146164
1523399022.4902754,71292,0.030584048479795456
1523399622.5008974,72748,0.028268059715628624
1523400222.6924548,74205,0.026347272098064423
1523400823.2118416,75667,0.02853367291390896
1523401423.1181517,77125,0.027442138642072678
1523402023.12604,78578,0.030127575621008873
1523402623.1194196,80034,0.025937672704458237
1523403223.3341584,81488,0.030082667246460915
1523403823.589802,82944,0.028502779081463814
1523404423.2104263,84397,0.029299043118953705
1523405023.943348,85849,0.03344276547431946
1523405624.1908414,87302,0.033091768622398376
1523406224.419624,88755,0.03284056857228279
1523406825.2809794,90210,0.025646816939115524
1523407424.785957,91665,0.026434635743498802
1523408024.6828861,93123,0.02364184893667698
1523408624.9233503,94582,0.02958635427057743
1523409225.0166693,96038,0.0303138829767704
1523409824.9501126,97492,0.02806343324482441
1523410425.5023592,98945,0.02571522258222103
