Wall time,Step,Value
1523369621.4352262,0,1.121730178965663e-06
1523370216.2037375,1408,0.9998487830162048
1523370816.4026923,2863,0.9996948838233948
1523371417.0604668,4315,1.0
1523372016.6413724,5766,1.0
1523372617.2384465,7216,0.9999237060546875
1523373217.0128727,8665,1.0
1523373817.424076,10115,1.0
1523374417.1351886,11566,1.0
1523375017.310459,13018,1.0
1523375617.3336353,14469,1.0
1523376218.0640373,15920,1.0
1523376817.9307332,17372,1.0
1523377418.1381109,18825,1.0
1523378018.2884002,20278,1.0
1523378618.4261615,21729,1.0
1523379218.5152678,23182,1.0
1523379818.823228,24634,1.0
1523380419.417112,26088,1.0
1523381018.740148,27541,1.0
1523381618.695564,28995,0.9998474717140198
1523382219.5290573,30449,1.0
1523382819.4015787,31904,1.0
1523383418.989643,33359,1.0
1523384019.89187,34819,1.0
1523384620.1664376,36280,1.0
1523385220.1597545,37742,1.0
1523385819.579114,39203,0.9998474717140198
1523386420.0399406,40663,1.0
1523387020.4830842,42120,1.0
1523387620.1487107,43580,1.0
1523388220.571922,45039,1.0
1523388820.4758217,46496,1.0
1523389420.7404184,47953,0.9999237060546875
1523390020.6846528,49411,1.0
1523390620.677914,50870,1.0
1523391221.290919,52330,1.0
1523391820.9456553,53791,1.0
1523392421.2306564,55255,1.0
1523393021.1598892,56718,1.0
1523393621.6965864,58180,1.0
1523394221.435321,59642,1.0
1523394821.6158662,61102,1.0
1523395421.8810248,62558,1.0
1523396022.2127125,64010,1.0
1523396622.1148083,65466,1.0
1523397222.3254604,66924,1.0
1523397822.239378,68382,1.0
1523398422.3788342,69840,1.0
1523399022.4906359,71292,1.0
1523399622.5016892,72748,1.0
1523400222.6932952,74205,1.0
1523400823.2132308,75667,1.0
1523401423.1188838,77125,1.0
1523402023.1263838,78578,1.0
1523402623.1199458,80034,1.0
1523403223.3350275,81488,1.0
1523403823.5902746,82944,1.0
1523404423.2106974,84397,1.0
1523405023.9447534,85849,1.0
1523405624.1918209,87302,1.0
1523406224.4197638,88755,1.0
1523406825.2812877,90210,1.0
1523407424.7874687,91665,1.0
1523408024.6837733,93123,1.0
1523408624.9268184,94582,1.0
1523409225.0167484,96038,1.0
1523409824.9509118,97492,1.0
1523410425.5025172,98945,1.0
