Wall time,Step,Value
1523369621.4353976,0,2.0640141883632168e-05
1523370216.2040646,1408,0.973976194858551
1523370816.4028726,2863,0.9942277669906616
1523371417.0606363,4315,0.9989932775497437
1523372016.6417325,5766,0.9955004453659058
1523372617.2386446,7216,0.9979073405265808
1523373217.0131671,8665,0.9954794049263
1523373817.4244292,10115,0.9990322589874268
1523374417.1354094,11566,0.9997419118881226
1523375017.3108666,13018,0.9962095022201538
1523375617.3339882,14469,0.996810793876648
1523376218.0681205,15920,0.9946037530899048
1523376817.9311562,17372,1.0
1523377418.1383314,18825,0.9986528158187866
1523378018.2887964,20278,0.9974446296691895
1523378618.4277418,21729,0.9998719692230225
1523379218.515629,23182,0.9967391490936279
1523379818.8235407,24634,0.9989041090011597
1523380419.4174275,26088,0.9998719692230225
1523381018.74028,27541,0.9998709559440613
1523381618.695784,28995,0.991449236869812
1523382219.5291796,30449,1.0
1523382819.4019573,31904,0.9991788268089294
1523383418.990027,33359,0.9990490674972534
1523384019.8925023,34819,1.0
1523384620.1667087,36280,0.9993548393249512
1523385220.1608565,37742,0.9996128678321838
1523385819.579466,39203,0.9977703094482422
1523386420.0403082,40663,1.0
1523387020.4833302,42120,0.9997439980506897
1523387620.149028,43580,0.9998095035552979
1523388220.5724692,45039,0.999935507774353
1523388820.476067,46496,0.9998709559440613
1523389420.7406952,47953,0.9991616010665894
1523390020.6856587,49411,0.9997479915618896
1523390620.6782908,50870,0.9998069405555725
1523391221.2913063,52330,0.9994223117828369
1523391820.9461935,53791,1.0
1523392421.2308886,55255,1.0
1523393021.160722,56718,1.0
1523393621.6969569,58180,0.9982559680938721
1523394221.4356916,59642,0.9987663626670837
1523394821.6169271,61102,1.0
1523395421.881501,62558,1.0
1523396022.2129757,64010,0.9988486766815186
1523396622.1151257,65466,0.9957377910614014
1523397222.3256822,66924,0.9997479915618896
1523397822.2397344,68382,1.0
1523398422.3791094,69840,1.0
1523399022.4908447,71292,1.0
1523399622.50192,72748,1.0
1523400222.6934474,74205,1.0
1523400823.213925,75667,1.0
1523401423.1189969,77125,1.0
1523402023.1265743,78578,0.999935507774353
1523402623.1201408,80034,1.0
1523403223.3352764,81488,1.0
1523403823.5906322,82944,0.9998719692230225
1523404423.2111073,84397,1.0
1523405023.9451191,85849,1.0
1523405624.1921475,87302,0.999416708946228
1523406224.4200516,88755,1.0
1523406825.2816434,90210,0.9996129274368286
1523407424.787797,91665,1.0
1523408024.684423,93123,1.0
1523408624.928364,94582,0.9958581924438477
1523409225.017034,96038,0.9992884397506714
1523409824.9511793,97492,0.9997479915618896
1523410425.5026872,98945,0.9997419118881226
