Wall time,Step,Value
1523369621.4355676,0,0.0
1523370216.2051,1408,0.9936478137969971
1523370816.4030385,2863,0.999472975730896
1523371417.0607991,4315,0.9992013573646545
1523372016.6426687,5766,0.9997967481613159
1523372617.2388566,7216,0.9996634721755981
1523373217.0142758,8665,0.9998655915260315
1523373817.4247713,10115,1.0
1523374417.1356382,11566,0.9998655915260315
1523375017.3112545,13018,1.0
1523375617.3343425,14469,0.9992496371269226
1523376218.0686882,15920,0.9998645186424255
1523376817.931533,17372,0.9996612668037415
1523377418.1385417,18825,0.9987397789955139
1523378018.2891376,20278,1.0
1523378618.4279974,21729,1.0
1523379218.5159714,23182,0.9999322295188904
1523379818.8238437,24634,1.0
1523380419.4177008,26088,1.0
1523381018.7403889,27541,1.0
1523381618.6959796,28995,0.9995989203453064
1523382219.5292783,30449,1.0
1523382819.4023128,31904,1.0
1523383418.9903862,33359,1.0
1523384019.892899,34819,0.9999322295188904
1523384620.166867,36280,0.9997290372848511
1523385220.1614068,37742,1.0
1523385819.5798068,39203,1.0
1523386420.040655,40663,1.0
1523387020.4836211,42120,1.0
1523387620.14923,43580,1.0
1523388220.5727434,45039,1.0
1523388820.4763098,46496,1.0
1523389420.740949,47953,1.0
1523390020.6858842,49411,1.0
1523390620.6786363,50870,1.0
1523391221.2916524,52330,1.0
1523391820.9466007,53791,1.0
1523392421.2311032,55255,1.0
1523393021.1608236,56718,1.0
1523393621.6972988,58180,1.0
1523394221.4360344,59642,1.0
1523394821.6173437,61102,1.0
1523395421.881887,62558,1.0
1523396022.2131956,64010,1.0
1523396622.1152258,65466,1.0
1523397222.325867,66924,1.0
1523397822.2400084,68382,1.0
1523398422.3793387,69840,1.0
1523399022.49102,71292,1.0
1523399622.5021667,72748,1.0
1523400222.6935778,74205,1.0
1523400823.2141902,75667,1.0
1523401423.119092,77125,1.0
1523402023.1267393,78578,1.0
1523402623.1203156,80034,1.0
1523403223.3354952,81488,1.0
1523403823.5909717,82944,1.0
1523404423.2115912,84397,1.0
1523405023.9453619,85849,1.0
1523405624.192422,87302,1.0
1523406224.420286,88755,1.0
1523406825.2819858,90210,1.0
1523407424.7880027,91665,1.0
1523408024.684769,93123,1.0
1523408624.9286752,94582,1.0
1523409225.0172,96038,1.0
1523409824.9513965,97492,1.0
1523410425.502848,98945,1.0
